"tips","max_crep","Order","Family","Genus"
"Abrocoma_bennettii","nocturnal","Rodentia","Abrocomidae","Abrocoma"
"Abrocoma_boliviensis","nocturnal","Rodentia","Abrocomidae","Abrocoma"
"Abrocoma_budini","nocturnal","Rodentia","Abrocomidae","Abrocoma"
"Abrocoma_cinerea","nocturnal","Rodentia","Abrocomidae","Abrocoma"
"Abrocoma_famatina","nocturnal","Rodentia","Abrocomidae","Abrocoma"
"Abrocoma_shistacea","nocturnal","Rodentia","Abrocomidae","Abrocoma"
"Abrocoma_uspallata","nocturnal","Rodentia","Abrocomidae","Abrocoma"
"Abrocoma_vaccarum","nocturnal","Rodentia","Abrocomidae","Abrocoma"
"Abrothrix_andinus","diurnal","Rodentia","Cricetidae","Abrothrix"
"Abrothrix_jelskii","cathemeral","Rodentia","Cricetidae","Abrothrix"
"Abrothrix_lanosus","nocturnal","Rodentia","Cricetidae","Abrothrix"
"Abrothrix_longipilis","nocturnal","Rodentia","Cricetidae","Abrothrix"
"Abrothrix_olivaceus","nocturnal","Rodentia","Cricetidae","Abrothrix"
"Abrothrix_sanborni","cathemeral","Rodentia","Cricetidae","Abrothrix"
"Acerodon_celebensis","nocturnal","Chiroptera","Pteropodidae","Acerodon"
"Acerodon_humilis","nocturnal","Chiroptera","Pteropodidae","Acerodon"
"Acerodon_jubatus","nocturnal","Chiroptera","Pteropodidae","Acerodon"
"Acerodon_leucotis","nocturnal","Chiroptera","Pteropodidae","Acerodon"
"Acerodon_mackloti","nocturnal","Chiroptera","Pteropodidae","Acerodon"
"Acinonyx_jubatus","diurnal","Carnivora","Felidae","Acinonyx"
"Acomys_airensis","nocturnal","Rodentia","Muridae","Acomys"
"Acomys_cahirinus","nocturnal","Rodentia","Muridae","Acomys"
"Acomys_cilicicus","nocturnal","Rodentia","Muridae","Acomys"
"Acomys_cineraceus","nocturnal","Rodentia","Muridae","Acomys"
"Acomys_dimidiatus","nocturnal","Rodentia","Muridae","Acomys"
"Acomys_ignitus","nocturnal","Rodentia","Muridae","Acomys"
"Acomys_johannis","nocturnal","Rodentia","Muridae","Acomys"
"Acomys_kempi","nocturnal","Rodentia","Muridae","Acomys"
"Acomys_louisae","nocturnal","Rodentia","Muridae","Acomys"
"Acomys_minous","nocturnal","Rodentia","Muridae","Acomys"
"Acomys_mullah","nocturnal","Rodentia","Muridae","Acomys"
"Acomys_nesiotes","nocturnal","Rodentia","Muridae","Acomys"
"Acomys_percivali","nocturnal","Rodentia","Muridae","Acomys"
"Acomys_russatus","diurnal","Rodentia","Muridae","Acomys"
"Acomys_seurati","nocturnal","Rodentia","Muridae","Acomys"
"Acomys_spinosissimus","nocturnal","Rodentia","Muridae","Acomys"
"Acomys_subspinosus","nocturnal","Rodentia","Muridae","Acomys"
"Acomys_wilsoni","nocturnal","Rodentia","Muridae","Acomys"
"Aconaemys_fuscus","nocturnal","Rodentia","Octodontidae","Aconaemys"
"Aconaemys_sagei","diurnal","Rodentia","Octodontidae","Aconaemys"
"Acrobates_pygmaeus","nocturnal","Diprotodontia","Acrobatidae","Acrobates"
"Addax_nasomaculatus","crepuscular","Artiodactyla","Bovidae","Addax"
"Aegialomys_galapagoensis","nocturnal","Rodentia","Cricetidae","Aegialomys"
"Aegialomys_xanthaeolus","nocturnal","Rodentia","Cricetidae","Aegialomys"
"Aepeomys_lugens","nocturnal","Rodentia","Cricetidae","Aepeomys"
