"IUCN","Active_range","max_dive_depth","body_weight","tips"
"least_concern","pelagic",150,100,"Balaena_mysticetus"
"least_concern","pelagic",732,9,"Balaenoptera_acutorostrata"
"near_threatened","pelagic",1000,11.05,"Balaenoptera_bonaerensis"
"endangered","pelagic",342,45,"Balaenoptera_borealis"
"least_concern","pelagic",300,18.5,"Balaenoptera_edeni"
"endangered","pelagic",500,190,"Balaenoptera_musculus"
"vulnerable","pelagic",250,90,"Balaenoptera_physalus"
"least_concern","pelagic",1500,8.2,"Berardius_arnuxii"
"least_concern","pelagic",3000,13,"Berardius_bairdii"
"least_concern","pelagic",1400,4.5,"Caperea_marginata"
"least_concern","coastal",200,0.086,"Cephalorhynchus_commersonii"
"near_threatened","coastal",15,0.075,"Cephalorhynchus_eutropia"
"near_threatened","coastal",180,0.075,"Cephalorhynchus_heavisidii"
"endangered","coastal",90,0.06,"Cephalorhynchus_hectori"
"least_concern","pelagic",350,1.6,"Delphinapterus_leucas"
"least_concern","coastal",200,0.235,"Delphinus_delphis"
"least_concern","coastal",60,45,"Eschrichtius_robustus"
"least_concern","pelagic",300,73,"Eubalaena_australis"
"critically_endangered","coastal",200,95,"Eubalaena_glacialis"
"endangered","pelagic",2000,90.7,"Eubalaena_japonica"
"least_concern","pelagic",2862,0.225,"Feresa_attenuata"
"least_concern","pelagic",609,3.6,"Globicephala_macrorhynchus"
"least_concern","pelagic",1800,3.8,"Globicephala_melas"
"least_concern","coastal",1200,0.5,"Grampus_griseus"
"near_threatened","pelagic",1000,7.5,"Hyperoodon_ampullatus"
"least_concern","pelagic",1000,8,"Hyperoodon_planifrons"
"least_concern","pelagic",1267,4,"Indopacetus_pacificus"
"endangered","riverine",50,0.27,"Inia_geoffrensis"
"least_concern","pelagic",1000,0.42,"Kogia_breviceps"
"least_concern","pelagic",300,0.275,"Kogia_sima"
"least_concern","pelagic",600,0.21,"Lagenodelphis_hosei"
"least_concern","coastal",270,0.25,"Lagenorhynchus_acutus"
"least_concern","coastal",200,0.35,"Lagenorhynchus_albirostris"
"least_concern","coastal",300,0.115,"Lagenorhynchus_australis"
"least_concern","pelagic",200,0.094,"Lagenorhynchus_cruciger"
"least_concern","pelagic",1000,0.2,"Lagenorhynchus_obliquidens"
"least_concern","coastal",200,0.085,"Lagenorhynchus_obscurus"
"critically_endangered","riverine",50,0.23,"Lipotes_vexillifer"
"least_concern","pelagic",200,0.115,"Lissodelphis_borealis"
"least_concern","pelagic",200,0.1,"Lissodelphis_peronii"
"least_concern","pelagic",4000,40,"Megaptera_novaeangliae"
"least_concern","pelagic",1524,1.3,"Mesoplodon_bidens"
"least_concern","pelagic",1000,1.03,"Mesoplodon_densirostris"
"least_concern","pelagic",1500,1.2,"Mesoplodon_europaeus"
"least_concern","pelagic",2000,5,"Mesoplodon_grayi"
"least_concern","pelagic",2000,2.7,"Mesoplodon_layardii"
"least_concern","pelagic",1000,1.4,"Mesoplodon_mirus"
"endangered","pelagic",1000,1.5,"Mesoplodon_perrini"
"least_concern","coastal",1000,0.8,"Mesoplodon_peruvianus"
"near_threatened","pelagic",1000,1.5,"Mesoplodon_stejnegeri"
"least_concern","pelagic",900,1.6,"Monodon_monoceros"
"endangered","coastal",50,0.08,"Neophocaena_asiaeorientalis"
"vulnerable","coastal",50,0.08,"Neophocaena_phocaenoides"
"endangered","coastal",18,0.13,"Orcaella_brevirostris"
"vulnerable","coastal",30,0.133,"Orcaella_heinsohni"
"least_concern","pelagic",2000,0.275,"Peponocephala_electra"
"least_concern","pelagic",200,0.115,"Phocoena_dioptrica"
"least_concern","coastal",200,0.07,"Phocoena_phocoena"
"critically_endangered","coastal",40,0.05,"Phocoena_sinus"
"near_threatened","coastal",150,0.085,"Phocoena_spinipinnis"
"least_concern","pelagic",94,0.22,"Phocoenoides_dalli"
"vulnerable","pelagic",3200,45,"Physeter_macrocephalus"
"endangered","riverine",9,0.09,"Platanista_gangetica"
"vulnerable","coastal",35,0.05,"Pontoporia_blainvillei"
"near_threatened","pelagic",2000,2.2,"Pseudorca_crassidens"
"endangered","coastal",50,0.055,"Sotalia_fluviatilis"
"near_threatened","coastal",50,0.12,"Sotalia_guianensis"
"vulnerable","coastal",25,0.28,"Sousa_chinensis"
"endangered","coastal",30,0.28,"Sousa_plumbea"
"vulnerable","coastal",40,0.24,"Sousa_sahulensis"
"critically_endangered","coastal",65,0.15,"Sousa_teuszii"
"least_concern","pelagic",5000,0.165,"Stenella_attenuata"
"least_concern","pelagic",5000,0.085,"Stenella_clymene"
"least_concern","pelagic",700,0.16,"Stenella_coeruleoalba"
"least_concern","coastal",1000,0.14,"Stenella_frontalis"
"least_concern","pelagic",400,0.082,"Stenella_longirostris"
"least_concern","pelagic",2000,0.16,"Steno_bredanensis"
"near_threatened","coastal",300,0.23,"Tursiops_aduncus"
"least_concern","pelagic",1316,0.65,"Tursiops_truncatus"
"least_concern","pelagic",2992,3,"Ziphius_cavirostris"
