"","Species_name","Diel_Pattern_2","tips"
"Addax nasomaculatus","Addax nasomaculatus","Diurnal","Addax_nasomaculatus"
"Aepyceros melampus","Aepyceros melampus","Cathemeral","Aepyceros_melampus"
"Alcelaphus buselaphus","Alcelaphus buselaphus","Diurnal","Alcelaphus_buselaphus"
"Alces alces","Alces alces","Nocturnal/Crepuscular","Alces_alces"
"Ammodorcas clarkei","Ammodorcas clarkei","Diurnal","Ammodorcas_clarkei"
"Ammotragus lervia","Ammotragus lervia","Diurnal/Crepuscular","Ammotragus_lervia"
"Antidorcas marsupialis","Antidorcas marsupialis","Cathemeral","Antidorcas_marsupialis"
"Antilocapra americana","Antilocapra americana","Cathemeral","Antilocapra_americana"
"Antilope cervicapra","Antilope cervicapra","Diurnal/Crepuscular","Antilope_cervicapra"
"Arabitragus jayakari","Arabitragus jayakari","Cathemeral","Arabitragus_jayakari"
"Axis axis","Axis axis","Cathemeral/Crepuscular","Axis_axis"
"Axis calamianensis","Axis calamianensis","Diurnal","Axis_calamianensis"
"Axis kuhlii","Axis kuhlii","Diurnal","Axis_kuhlii"
"Axis porcinus","Axis porcinus","Crepuscular","Axis_porcinus"
"Babyrousa babyrussa","Babyrousa babyrussa","Diurnal","Babyrousa_babyrussa"
"Babyrousa celebensis","Babyrousa celebensis","Diurnal","Babyrousa_celebensis"
"Babyrousa togeanensis","Babyrousa togeanensis","Diurnal","Babyrousa_togeanensis"
"Beatragus hunteri","Beatragus hunteri","Crepuscular","Beatragus_hunteri"
"Bison bison","Bison bison","Cathemeral","Bison_bison"
"Bison bonasus","Bison bonasus","Cathemeral","Bison_bonasus"
"Blastocerus dichotomus","Blastocerus dichotomus","Cathemeral/Crepuscular","Blastocerus_dichotomus"
"Bos gaurus","Bos gaurus","Cathemeral","Bos_gaurus"
"Bos javanicus","Bos javanicus","Cathemeral/Crepuscular","Bos_javanicus"
"Bos mutus","Bos mutus","Cathemeral","Bos_mutus"
"Bos sauveli","Bos sauveli","Cathemeral","Bos_sauveli"
"Boselaphus tragocamelus","Boselaphus tragocamelus","Nocturnal/Crepuscular","Boselaphus_tragocamelus"
"Bubalus arnee","Bubalus arnee","Cathemeral","Bubalus_arnee"
"Bubalus depressicornis","Bubalus depressicornis","Cathemeral","Bubalus_depressicornis"
