Binomial_iucn,Order,Family,Genus,Species,Common_name,Activity_DD,Activity_IM,Activity_source,Flexible_DD,Flexible_IM,Flexible_source,,
Abditomys latidens,Rodentia,Muridae,Abditomys,latidens,Luzon Broad-toothed Rat,Nocturnal,Nocturnal,1,0,0,1,,
Abeomelomys sevia,Rodentia,Muridae,Abeomelomys,sevia,Menzies' Mouse,Nocturnal,Nocturnal,1,0,0,1,,
Abrawayaomys ruschii,Rodentia,Cricetidae,Abrawayaomys,ruschii,Ruschi's Rat,Nocturnal,Nocturnal,1,0,0,1,,
Abrocoma bennettii,Rodentia,Abrocomidae,Abrocoma,bennettii,Bennett's Chinchilla Rat,Nocturnal,Nocturnal,1,0,0,1,,
Abrocoma boliviensis,Rodentia,Abrocomidae,Abrocoma,boliviensis,Bolivian Chinchilla Rat,Diurnal,Diurnal,1,0,0,1,,
Abrocoma budini,Rodentia,Abrocomidae,Abrocoma,budini,Budin's Chinchilla Rat,Nocturnal,Nocturnal,4,0,0,1,,
Abrocoma cinerea,Rodentia,Abrocomidae,Abrocoma,cinerea,Ashy Chinchilla Rat,Diurnal,Diurnal,1,0,0,1,,
Abrocoma famatina,Rodentia,Abrocomidae,Abrocoma,famatina,Famatina Chinchilla Rat,Nocturnal,Nocturnal,8,0,0,1,,
Abrocoma shistacea,Rodentia,Abrocomidae,Abrocoma,shistacea,Sierra Del Tontal Chinchilla Rat,Diurnal,Diurnal,1,0,0,1,,
Abrocoma uspallata,Rodentia,Abrocomidae,Abrocoma,uspallata,Uspallata Chinchilla Rat,Diurnal,Diurnal,1,0,0,1,,
Abrocoma vaccarum,Rodentia,Abrocomidae,Abrocoma,vaccarum,Mendozan Chinchilla Rat,Nocturnal,Nocturnal,9,0,0,1,,
Abrothrix andinus,Rodentia,Cricetidae,Abrothrix,andinus,Andean Akodont,Diurnal,Diurnal,1,1,1,1,,
Abrothrix illutea,Rodentia,Cricetidae,Abrothrix,illutea,Gray Akodont,Cathemeral,Cathemeral,2,0,0,1,,
Abrothrix jelskii,Rodentia,Cricetidae,Abrothrix,jelskii,Jelski's Altiplano Mouse,Cathemeral,Cathemeral,1,0,0,1,,
Abrothrix lanosus,Rodentia,Cricetidae,Abrothrix,lanosus,Woolly Grass Mouse,Nocturnal,Nocturnal,1,1,1,1,,
Abrothrix longipilis,Rodentia,Cricetidae,Abrothrix,longipilis,Long-haired Akodont,Nocturnal,Nocturnal,1,0,0,1,,
Abrothrix olivaceus,Rodentia,Cricetidae,Abrothrix,olivaceus,Olive Grass Mouse,Cathemeral,Cathemeral,1,0,0,1,,
Abrothrix sanborni,Rodentia,Cricetidae,Abrothrix,sanborni,Sanborn's Grass Mouse,Cathemeral,Cathemeral,33,0,0,1,,
Acerodon celebensis,Chiroptera,Pteropodidae,Acerodon,celebensis,Sulawesi Fruit Bat,Nocturnal,Nocturnal,1,0,0,1,,
Acerodon humilis,Chiroptera,Pteropodidae,Acerodon,humilis,Talaud Fruit Bat,Nocturnal,Nocturnal,1,0,0,1,,
Acerodon jubatus,Chiroptera,Pteropodidae,Acerodon,jubatus,Golden-capped Fruit Bat,Diurnal,Diurnal,19,1,1,1,,
Acerodon leucotis,Chiroptera,Pteropodidae,Acerodon,leucotis,Palawan Fruit Bat,Nocturnal,Nocturnal,1,0,0,1,,
Acerodon mackloti,Chiroptera,Pteropodidae,Acerodon,mackloti,Sunda Fruit Bat,Nocturnal,Nocturnal,1,0,0,1,,
Acinonyx jubatus,Carnivora,Felidae,Acinonyx,jubatus,Cheetah,Nocturnal,Nocturnal,1,1,1,1,,
Acomys airensis,Rodentia,Muridae,Acomys,airensis,Western Saharan Spiny Mouse,Nocturnal,Nocturnal,11,1,1,1,,
Acomys cahirinus,Rodentia,Muridae,Acomys,cahirinus,Cairo Spiny Mouse,Nocturnal,Nocturnal,1,1,1,1,,
Acomys cilicicus,Rodentia,Muridae,Acomys,cilicicus,Asia Minor Spiny Mouse,Nocturnal,Nocturnal,2,1,1,1,,
