"","X","Species_name","Diel_Pattern_1","Diel_Pattern_2","Diel_Pattern_3","Diel_Pattern_4","tips"
"1","Addax nasomaculatus","Addax nasomaculatus","nocturnal","nocturnal","nocturnal","nocturnal","Addax_nasomaculatus"
"2","Aepyceros melampus","Aepyceros melampus","diurnal","diurnal","diurnal","diurnal","Aepyceros_melampus"
"3","Alcelaphus buselaphus","Alcelaphus buselaphus","diurnal","diurnal","diurnal","diurnal","Alcelaphus_buselaphus"
"4","Alcelaphus lichtensteinii","Alcelaphus lichtensteinii","diurnal","diurnal/crepuscular","crepuscular","diurnal","Alcelaphus_lichtensteinii"
"5","Alces alces","Alces alces","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","Alces_alces"
"6","Ammotragus lervia","Ammotragus lervia","diurnal","diurnal/crepuscular","crepuscular","diurnal","Ammotragus_lervia"
"7","Antidorcas marsupialis","Antidorcas marsupialis",NA,"cathemeral","cathemeral","cathemeral","Antidorcas_marsupialis"
"8","Antilocapra americana","Antilocapra americana","diurnal","diurnal/crepuscular","crepuscular","diurnal","Antilocapra_americana"
"9","Antilope cervicapra","Antilope cervicapra","diurnal","diurnal/crepuscular","crepuscular","diurnal","Antilope_cervicapra"
"10","Axis axis","Axis axis",NA,"cathemeral/crepuscular","crepuscular","cathemeral","Axis_axis"
"11","Axis calamianensis","Axis calamianensis","diurnal","diurnal","diurnal","diurnal","Axis_calamianensis"
"12","Axis kuhlii","Axis kuhlii","nocturnal","nocturnal","nocturnal","nocturnal","Axis_kuhlii"
"13","Axis porcinus","Axis porcinus","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","Axis_porcinus"
"14","Babyrousa babyrussa","Babyrousa babyrussa","diurnal","diurnal","diurnal","diurnal","Babyrousa_babyrussa"
"15","Bison bison","Bison bison",NA,"cathemeral","cathemeral","cathemeral","Bison_bison"
"16","Bison bonasus","Bison bonasus",NA,"cathemeral","cathemeral","cathemeral","Bison_bonasus"
"17","Blastocerus dichotomus","Blastocerus dichotomus",NA,"cathemeral/crepuscular","crepuscular","cathemeral","Blastocerus_dichotomus"
"18","Bos frontalis","Bos frontalis",NA,"cathemeral","cathemeral","cathemeral","Bos_frontalis"
"19","Bos grunniens","Bos grunniens",NA,"cathemeral","cathemeral","cathemeral","Bos_grunniens"
"20","Bos javanicus","Bos javanicus",NA,"cathemeral/crepuscular","crepuscular","cathemeral","Bos_javanicus"
"21","Bos sauveli","Bos sauveli",NA,"cathemeral","cathemeral","cathemeral","Bos_sauveli"
"22","Boselaphus tragocamelus","Boselaphus tragocamelus","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","Boselaphus_tragocamelus"
"23","Bubalus bubalis","Bubalus bubalis",NA,"cathemeral","cathemeral","cathemeral","Bubalus_bubalis"
"24","Bubalus depressicornis","Bubalus depressicornis","diurnal","diurnal","diurnal","diurnal","Bubalus_depressicornis"
"25","Bubalus mindorensis","Bubalus mindorensis","diurnal","diurnal/crepuscular","crepuscular","diurnal","Bubalus_mindorensis"
"26","Bubalus quarlesi","Bubalus quarlesi","diurnal","diurnal","diurnal","diurnal","Bubalus_quarlesi"
"27","Budorcas taxicolor","Budorcas taxicolor","diurnal","diurnal","diurnal","diurnal","Budorcas_taxicolor"
"28","Camelus dromedarius","Camelus dromedarius","diurnal","diurnal","diurnal","diurnal","Camelus_dromedarius"
"29","Capra caucasica","Capra caucasica",NA,"cathemeral","cathemeral","cathemeral","Capra_caucasica"
"30","Capra falconeri","Capra falconeri","diurnal","diurnal","diurnal","diurnal","Capra_falconeri"
"31","Capra hircus","Capra hircus","diurnal","diurnal","diurnal","diurnal","Capra_hircus"
"32","Capra ibex","Capra ibex",NA,"cathemeral/crepuscular","crepuscular","cathemeral","Capra_ibex"
"33","Capra pyrenaica","Capra pyrenaica",NA,"cathemeral/crepuscular","crepuscular","cathemeral","Capra_pyrenaica"
"34","Capra sibirica","Capra sibirica","diurnal","diurnal/crepuscular","crepuscular","diurnal","Capra_sibirica"
"35","Capreolus capreolus","Capreolus capreolus",NA,"cathemeral/crepuscular","crepuscular","cathemeral","Capreolus_capreolus"
"36","Capreolus pygargus","Capreolus pygargus",NA,"cathemeral/crepuscular","crepuscular","cathemeral","Capreolus_pygargus"
"37","Capricornis crispus","Capricornis crispus",NA,"cathemeral","cathemeral","cathemeral","Capricornis_crispus"
"38","Capricornis milneedwardsii","Capricornis milneedwardsii","diurnal","diurnal/crepuscular","crepuscular","diurnal","Capricornis_milneedwardsii"
"39","Catagonus wagneri","Catagonus wagneri","diurnal","diurnal","diurnal","diurnal","Catagonus_wagneri"
"40","Cephalophus callipygus","Cephalophus callipygus","diurnal","diurnal","diurnal","diurnal","Cephalophus_callipygus"
"41","Cephalophus dorsalis","Cephalophus dorsalis","nocturnal","nocturnal","nocturnal","nocturnal","Cephalophus_dorsalis"
"42","Cephalophus jentinki","Cephalophus jentinki","nocturnal","nocturnal","nocturnal","nocturnal","Cephalophus_jentinki"
"43","Cephalophus leucogaster","Cephalophus leucogaster","diurnal","diurnal","diurnal","diurnal","Cephalophus_leucogaster"
"44","Cephalophus natalensis","Cephalophus natalensis","diurnal","diurnal","diurnal","diurnal","Cephalophus_natalensis"
"45","Cephalophus nigrifrons","Cephalophus nigrifrons","nocturnal","nocturnal","nocturnal","nocturnal","Cephalophus_nigrifrons"
"46","Cephalophus ogilbyi","Cephalophus ogilbyi","diurnal","diurnal","diurnal","diurnal","Cephalophus_ogilbyi"
"47","Cephalophus rufilatus","Cephalophus rufilatus","diurnal","diurnal","diurnal","diurnal","Cephalophus_rufilatus"
"48","Cephalophus silvicultor","Cephalophus silvicultor","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","Cephalophus_silvicultor"
"49","Cephalophus spadix","Cephalophus spadix","nocturnal","nocturnal","nocturnal","nocturnal","Cephalophus_spadix"
"50","Cephalophus zebra","Cephalophus zebra","nocturnal","nocturnal","nocturnal","nocturnal","Cephalophus_zebra"
"51","Cervus elaphus","Cervus elaphus",NA,"cathemeral/crepuscular","crepuscular","cathemeral","Cervus_elaphus"
"52","Cervus nippon","Cervus nippon",NA,"cathemeral/crepuscular","crepuscular","cathemeral","Cervus_nippon"
"53","Connochaetes gnou","Connochaetes gnou","diurnal","diurnal/crepuscular","crepuscular","diurnal","Connochaetes_gnou"
"54","Connochaetes taurinus","Connochaetes taurinus",NA,"cathemeral","cathemeral","cathemeral","Connochaetes_taurinus"
"55","Dama dama","Dama dama",NA,"cathemeral/crepuscular","crepuscular","cathemeral","Dama_dama"
"56","Damaliscus lunatus","Damaliscus lunatus",NA,"cathemeral","cathemeral","cathemeral","Damaliscus_lunatus"
