Species_name,Notes,Diel_Pattern_2,AltDiel_Pattern,Confidence,Method,Comments 1,Comments 2,Comments 3,Comments 4,Comments 5,Source 1,Source 2,Source 3,Source 4,Source 5,Source 6,Source 7,Source 8,Source 9,Source 10
Alces alces,,Nocturnal/Crepuscular,,3,Camera trapping,"Moose were more nocturnal than white-tailed deer yet with similar bimodal activity, as demonstrated in the low-disturbance landscape (∆ = 0.76; CIs in Table 2), with moose activity peaking during dawn and at midnight",,,,,https://doi.org/10.1016/j.gecco.2022.e02355,,,,,,,,,
Ammotragus lervia,,Diurnal/Crepuscular,,3,Camera trapping,"The most frequent observations were recorded in early morning or late afternoon, but there were many events at other times of the day (Fig. 6). Aoudads were mostly camera-trapped during daytime ",,,,,https://doi.org/10.4404/hystrix-00607-2023,,,,,,,,,
Antilope cervicapra,,Diurnal/Crepuscular,,2,Daytime observations (scan survey),Blackbucks were reported to be most active at dawn and dusk hours.,,,,,https://doi.org/10.26515/rzsi/v123/i1/2023/172398,,,,,,,,,
Axis axis,,Cathemeral/Crepuscular,,"3, 2","Camera traps, daytime observations (scan survey)","In all seasons, spotted deer started their foraging long before dawn (06.00 h) and continued up to 10.30 h (Figures 2–4). Mostly before and after sunrise they respectively grazed and browsed. From 11.00 h to 14.00 h, they did not forage at all, rather they rested at that time; after 14.00 h, they again started foraging and became more and more active towards the dusk (18.00 h) and to continue it after sunset ("," For axis deer, although the inter-seasonal comparisons of distributions were also significantly different, its activity was cathemeral and largely overlapped between seasons (∆ = 0.86, Table 2), with differences between the wide peak (1–10 h) in summer and two narrower peaks in winter over 0–5 h and 5–9 h ",,,,https://doi.org/10.1155/2023/9123808,https://doi.org/10.1007/s10344-023-01725-8,,,,,,,,
Blastocerus dichotomus,,Cathemeral/Crepuscular,,3,Camera traps,"four herbivores showed cathemeral diel activity, with records during both day and night. *graph of diel activity shows crepuscular peaks",,,,,https://doi.org/10.1016/j.jnc.2020.125900,,,,,,,,,
Bos javanicus,,Cathemeral/Crepuscular,,3,Camera traps,"Banteng was cathemeral all year round, with the proportion of cathemeral records and the recording rate did not change with the protection of the level area, moon phase or season...Also, there was no significant deviation  has been detected from a uniform activity distribution  throughout  the  day  in  both  wet  and  dry  seasons   (z=3.13, p=0.101 (Figure 6a); z=5.43, p=0.455 (Figure 6b), respectively) using the Rayleigh tests, suggesting  that  this  species  may  be  cathemeral.  Nevertheless, banteng tended to be more active at dusk than dawn  (p=0.012), with a mean activity time of 16:42±18:48 circular stdev.  ",,,,,DOI:10.4308/hjb.26.2.68,,,,,,,,,
Bos sauveli,Maybe extinct,Cathemeral,,1,"Wikipedia, conservation report","To avoid the hottest parts of the day, kouprey feed during the early morning and late afternoon, moving into denser forest for respite during midday.","Kouprey are active, energetic animals. They travel long distances each night and appear restless when active, doubling backward and forward whilst feeding, in contrast to the more spaced and direct feeding movements of banteng. Kouprey use forest cover during the heat of the day, particularly in the dry season, but less so in the rainy or fly-ridden times of year.",,,,https://en.wikipedia.org/wiki/Kouprey#cite_note-MacKinnon-1989-12,https://portals.iucn.org/library/sites/library/files/documents/1989-009.pdf,,,,,,,,
Boselaphus tragocamelus,,Nocturnal/Crepuscular,,3,Camera traps,"Nilgai had a similar to activity pattern to WTD, with peak the activity during morning and late evening hours. However, nilgai had more nocturnal activity (30%) compared to WTD (17%). This activity appears to fluctuate during the night hours (Fig 2). Nilgai activity patterns reported from their native range in India is similar to our findings. Results from two separate study locations in India, South-Western Haryana region (Singh, 1995) and Tadoba–Andhari Tiger Reserve located in Chandrapur district of Maharashtra (Bayani and Watve, 2016), have shown that nilgai are most active at night.",,,,,http://www.subplantsci.org/wp-content/uploads/2017/07/SAE-Goolsby-et-al.-2017FINAL.pdf,,,,,,,,,
Bubalus mindorensis,,Diurnal/Crepuscular,,4,24-hour captive observations,,,,,,https://agris.fao.org/search/en/providers/122430/records/6471f62b2a40512c710f01bb,,,,,,,,,
Capra pyrenaica,,Cathemeral/Crepuscular,,2,Daytime observations,"Here also, and constrasting with the low level of activity at dawn and dusk during both study periods and for all classes of individuals",,,,,https://www.plant-animal.es/pdfscazorla/CH61.pdf,,,,,,,,,
