"tips","Family","Diel_Pattern","Corneal_diameter","Axial_length","Activity_pattern","Order","Orbit_ratio","fam_colours"
"Alces_alces","Cervidae","nocturnal/crepuscular",1.45484486000851,1.56348108539441,"cathemeral","Artiodactyla",0.930516444106201,"maroon"
"Ammotragus_lervia","Bovidae","diurnal/crepuscular",1.42324587393681,1.53781909507327,"cathemeral","Artiodactyla",0.925496294392802,"red"
"Antilope_cervicapra","Bovidae","cathemeral/crepuscular",1.30102999566398,1.44715803134222,"cathemeral","Artiodactyla",0.899024133844798,"red"
"Camelus_bactrianus","Camelidae","diurnal",1.46239799789896,1.60205999132796,"diurnal","Artiodactyla",0.912823493386637,"salmon1"
"Capra_ibex","Bovidae","cathemeral/crepuscular",1.40654018043396,1.54406804435028,"cathemeral","Artiodactyla",0.910931474542503,"red"
"Capricornis_sumatraensis","Bovidae","cathemeral",1.35218251811136,1.46239799789896,"cathemeral","Artiodactyla",0.924633731757058,"red"
"Cervus_nippon","Cervidae","diurnal/crepuscular",1.20411998265592,1.30102999566398,"cathemeral","Artiodactyla",0.925512852639037,"maroon"
"Connochaetes_gnou","Bovidae","diurnal",1.27415784926368,1.42324587393681,"cathemeral","Artiodactyla",0.895247878526611,"red"
"Dama_dama","Cervidae","nocturnal/crepuscular",1.40312052117582,1.53147891704226,"cathemeral","Artiodactyla",0.916186638654918,"maroon"
"Diceros_bicornis","Rhinocerotidae","cathemeral",1.20682587603185,1.44090908206522,"cathemeral","Perissodactyla",0.837544777150087,"grey80"
"Elaphurus_davidianus","Cervidae","diurnal",1.39269695325967,1.52891670027765,"cathemeral","Artiodactyla",0.910904402448314,"maroon"
"Equus_asinus","Equidae","cathemeral",1.38021124171161,1.5910646070265,"cathemeral","Perissodactyla",0.86747655350781,"chocolate4"
"Equus_burchellii","Equidae","cathemeral",1.44715803134222,1.6159500516564,"cathemeral","Perissodactyla",0.895546263858116,"chocolate4"
"Equus_caballus","Equidae","cathemeral",1.47567118832443,1.6232492903979,"cathemeral","Perissodactyla",0.909084757993459,"chocolate4"
"Equus_zebra","Equidae","cathemeral",1.43616264704076,1.61804809671209,"cathemeral","Perissodactyla",0.887589590172918,"chocolate4"
"Gazella_dorcas","Bovidae","diurnal/crepuscular",1.26717172840301,1.41497334797082,"cathemeral","Artiodactyla",0.895544591154481,"red"
"Kobus_ellipsiprymnus","Bovidae","cathemeral/crepuscular",1.43933269383026,1.55630250076729,"cathemeral","Artiodactyla",0.924841213787579,"red"
"Lama_glama","Camelidae","diurnal",1.40654018043396,1.5854607295085,"diurnal","Artiodactyla",0.887149176422672,"salmon1"
"Moschiola_meminna","Tragulidae","nocturnal",1.21218760440396,1.23044892137827,"nocturnal","Artiodactyla",0.985158817520145,"dimgrey"
"Muntiacus_muntjak","Cervidae","cathemeral/crepuscular",1.26717172840301,1.39794000867204,"cathemeral","Artiodactyla",0.906456443439768,"maroon"
"Odocoileus_hemionus","Cervidae","cathemeral/crepuscular",1.29666519026153,1.42813479402879,"cathemeral","Artiodactyla",0.907943140719666,"maroon"
"Odocoileus_virginianus","Cervidae","cathemeral/crepuscular",1.28555730900777,1.43136376415899,"cathemeral","Artiodactyla",0.898134591078681,"maroon"
"Okapia_johnstoni","Giraffidae","diurnal",1.29885307640971,1.43296929087441,"cathemeral","Artiodactyla",0.906406776949937,"black"
"Oryx_gazella","Bovidae","diurnal",1.42160392686983,1.56937390961505,"cathemeral","Artiodactyla",0.905841442985718,"red"
"Ovis_dalli","Bovidae","diurnal",1.35602585719312,1.50105926221775,"cathemeral","Artiodactyla",0.903379294425493,"red"
"Pecari_tajacu","Tayassuidae","diurnal/crepuscular",1.12710479836481,1.26951294421792,"cathemeral","Artiodactyla",0.887824581465107,"moccasin"
"Sylvicapra_grimmia","Bovidae","nocturnal/crepuscular",1.31175386105575,1.41497334797082,"nocturnal","Artiodactyla",0.927051992136044,"red"
"Tapirus_terrestris","Tapiridae","cathemeral",1.17026171539496,1.32221929473392,"cathemeral","Perissodactyla",0.885073845205427,"darkgoldenrod"
"Tragelaphus_eurycerus","Bovidae","nocturnal",1.41161970596323,1.50514997831991,"cathemeral","Artiodactyla",0.937859832107178,"red"
"Tragelaphus_oryx","Bovidae","cathemeral/crepuscular",1.53402610605614,1.67851837904011,"cathemeral","Artiodactyla",0.913916776373572,"red"
"Tragelaphus_spekii","Bovidae","cathemeral/crepuscular",1.37839790094814,1.48144262850231,"cathemeral","Artiodactyla",0.930442984715282,"red"
"Tragelaphus_strepsiceros","Bovidae","diurnal",1.49692964807321,1.62013605497376,"cathemeral","Artiodactyla",0.923953049176146,"red"
"Tragulus_javanicus","Tragulidae","diurnal/crepuscular",1.19865708695442,1.27875360095283,"nocturnal","Artiodactyla",0.937363606297003,"dimgrey"
