"Species_name","tabulated_diel"
"Addax nasomaculatus","nocturnal/crepuscular"
"Aepyceros melampus","diurnal"
"Alcelaphus buselaphus","diurnal/crepuscular"
"Alces alces","nocturnal/crepuscular"
"Ammodorcas clarkei","diurnal"
"Ammotragus lervia","diurnal/crepuscular"
"Antidorcas marsupialis","cathemeral/crepuscular"
"Antilocapra americana","diurnal"
"Antilope cervicapra","cathemeral/crepuscular"
"Arabitragus jayakari","cathemeral/crepuscular"
"Axis axis","cathemeral/crepuscular"
"Axis calamianensis","cathemeral/crepuscular"
"Axis kuhlii","cathemeral"
"Axis porcinus","cathemeral/crepuscular"
"Babyrousa babyrussa","diurnal"
"Babyrousa celebensis","diurnal"
"Babyrousa togeanensis","diurnal/crepuscular"
"Beatragus hunteri","cathemeral/crepuscular"
"Bison bison","diurnal/crepuscular"
"Bison bonasus","cathemeral"
"Blastocerus dichotomus","cathemeral/crepuscular"
"Bos gaurus","cathemeral/crepuscular"
"Bos javanicus","cathemeral"
"Bos mutus","diurnal"
"Bos sauveli","cathemeral"
"Boselaphus tragocamelus","nocturnal/crepuscular"
"Bubalis bubalis","cathemeral"
"Bubalus arnee","diurnal"
"Bubalus depressicornis","nocturnal/crepuscular"
"Bubalus mindorensis","cathemeral"
"Bubalus quarlesi","cathemeral/crepuscular"
"Budorcas taxicolor","diurnal/crepuscular"
"Camelus bactrianus","diurnal"
"Camelus dromedarius","diurnal"
"Camelus ferus","cathemeral/crepuscular"
"Capra aegagrus","diurnal"
"Capra caucasica","cathemeral"
"Capra cylindricornis","cathemeral"
"Capra falconeri","diurnal/crepuscular"
"Capra ibex","cathemeral/crepuscular"
"Capra nubiana","cathemeral/crepuscular"
"Capra pyrenaica","cathemeral/crepuscular"
"Capra sibirica","diurnal/crepuscular"
"Capra walie","cathemeral/crepuscular"
"Capreolus capreolus","cathemeral/crepuscular"
"Capreolus pygargus","nocturnal/crepuscular"
"Capricornis crispus","cathemeral"
"Capricornis rubidus","cathemeral"
"Capricornis sumatraensis","cathemeral"
"Capricornis swinhoei","nocturnal/crepuscular"
"Capricornis thar","cathemeral/crepuscular"
"Catagonus wagneri","diurnal/crepuscular"
"Cephalophus adersi","diurnal/crepuscular"
"Cephalophus callipygus","diurnal"
"Cephalophus dorsalis","nocturnal"
"Cephalophus harveyi","diurnal/crepuscular"
"Cephalophus jentinki","diurnal"
"Cephalophus leucogaster","diurnal"
"Cephalophus natalensis","cathemeral/crepuscular"
"Cephalophus niger","cathemeral"
"Cephalophus nigrifrons","diurnal"
"Cephalophus ogilbyi","diurnal"
"Cephalophus rufilatus","diurnal/crepuscular"
"Cephalophus silvicultor","nocturnal"
