"","Species_name","Diel_Pattern_1","Diel_Pattern_2","Diel_Pattern_3","tips"
"Addax_nasomaculatus","Addax_nasomaculatus","diurnal","diurnal","diurnal","Addax_nasomaculatus"
"Alcelaphus_buselaphus","Alcelaphus_buselaphus","diurnal","diurnal","diurnal","Alcelaphus_buselaphus"
"Ammodorcas_clarkei","Ammodorcas_clarkei","diurnal","diurnal","diurnal","Ammodorcas_clarkei"
"Ammotragus_lervia","Ammotragus_lervia","diurnal","diurnal","diurnal","Ammotragus_lervia"
"Antilope_cervicapra","Antilope_cervicapra","diurnal","diurnal","diurnal","Antilope_cervicapra"
"Axis_calamianensis","Axis_calamianensis","diurnal","diurnal","diurnal","Axis_calamianensis"
"Axis_kuhlii","Axis_kuhlii","diurnal","diurnal","diurnal","Axis_kuhlii"
"Babyrousa_babyrussa","Babyrousa_babyrussa","diurnal","diurnal","diurnal","Babyrousa_babyrussa"
"Babyrousa_celebensis","Babyrousa_celebensis","diurnal","diurnal","diurnal","Babyrousa_celebensis"
"Babyrousa_togeanensis","Babyrousa_togeanensis","diurnal","diurnal","diurnal","Babyrousa_togeanensis"
"Blastocerus_dichotomus","Blastocerus_dichotomus","nocturnal","nocturnal","nocturnal","Blastocerus_dichotomus"
"Bubalus_mindorensis","Bubalus_mindorensis","diurnal","diurnal","diurnal","Bubalus_mindorensis"
"Budorcas_taxicolor","Budorcas_taxicolor","diurnal","diurnal","diurnal","Budorcas_taxicolor"
"Camelus_ferus","Camelus_ferus","diurnal","diurnal","diurnal","Camelus_ferus"
"Capra_aegagrus","Capra_aegagrus","diurnal","diurnal","diurnal","Capra_aegagrus"
"Capra_caucasica","Capra_caucasica","diurnal","diurnal","diurnal","Capra_caucasica"
"Capra_cylindricornis","Capra_cylindricornis","diurnal","diurnal","diurnal","Capra_cylindricornis"
"Capra_falconeri","Capra_falconeri","diurnal","diurnal","diurnal","Capra_falconeri"
"Capra_ibex","Capra_ibex","diurnal","diurnal","diurnal","Capra_ibex"
"Capra_nubiana","Capra_nubiana","diurnal","diurnal","diurnal","Capra_nubiana"
"Capra_pyrenaica","Capra_pyrenaica","diurnal","diurnal","diurnal","Capra_pyrenaica"
"Capra_sibirica","Capra_sibirica","diurnal","diurnal","diurnal","Capra_sibirica"
"Capra_walie","Capra_walie","diurnal","diurnal","diurnal","Capra_walie"
"Capricornis_crispus","Capricornis_crispus","diurnal","diurnal","diurnal","Capricornis_crispus"
