"","Species_name","Diel_Pattern_1","Diel_Pattern_2","Diel_Pattern_3","Diel_Pattern_4","tips"
"Addax nasomaculatus","Addax nasomaculatus","cathemeral/crepuscular","cathemeral/crepuscular","cathemeral/crepuscular","cathemeral/crepuscular","Addax_nasomaculatus"
"Aepyceros melampus","Aepyceros melampus","diurnal/crepuscular","diurnal/crepuscular","diurnal/crepuscular","diurnal/crepuscular","Aepyceros_melampus"
"Alcelaphus buselaphus","Alcelaphus buselaphus","diurnal/crepuscular","diurnal/crepuscular","diurnal/crepuscular","diurnal/crepuscular","Alcelaphus_buselaphus"
"Alcelaphus lichtensteinii","Alcelaphus lichtensteinii","diurnal","diurnal/crepuscular","crepuscular","diurnal","Alcelaphus_lichtensteinii"
"Alces alces","Alces alces","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","Alces_alces"
"Ammotragus lervia","Ammotragus lervia","diurnal","diurnal/crepuscular","crepuscular","diurnal","Ammotragus_lervia"
"Antidorcas marsupialis","Antidorcas marsupialis",NA,"cathemeral","cathemeral","cathemeral","Antidorcas_marsupialis"
"Antilocapra americana","Antilocapra americana","diurnal","diurnal/crepuscular","crepuscular","diurnal","Antilocapra_americana"
"Antilope cervicapra","Antilope cervicapra","diurnal","diurnal/crepuscular","crepuscular","diurnal","Antilope_cervicapra"
"Axis axis","Axis axis",NA,"cathemeral/crepuscular","crepuscular","cathemeral","Axis_axis"
"Axis calamianensis","Axis calamianensis","diurnal","diurnal","diurnal","diurnal","Axis_calamianensis"
"Axis kuhlii","Axis kuhlii","nocturnal","nocturnal","nocturnal","nocturnal","Axis_kuhlii"
"Axis porcinus","Axis porcinus","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","Axis_porcinus"
"Babyrousa babyrussa","Babyrousa babyrussa","diurnal","diurnal","diurnal","diurnal","Babyrousa_babyrussa"
"Bison bison","Bison bison",NA,"cathemeral","cathemeral","cathemeral","Bison_bison"
"Bison bonasus","Bison bonasus",NA,"cathemeral","cathemeral","cathemeral","Bison_bonasus"
"Blastocerus dichotomus","Blastocerus dichotomus",NA,"cathemeral/crepuscular","crepuscular","cathemeral","Blastocerus_dichotomus"
"Bos frontalis","Bos frontalis",NA,"cathemeral","cathemeral","cathemeral","Bos_frontalis"
"Bos grunniens","Bos grunniens",NA,"cathemeral","cathemeral","cathemeral","Bos_grunniens"
"Bos javanicus","Bos javanicus",NA,"cathemeral/crepuscular","crepuscular","cathemeral","Bos_javanicus"
"Bos sauveli","Bos sauveli",NA,"cathemeral","cathemeral","cathemeral","Bos_sauveli"
"Boselaphus tragocamelus","Boselaphus tragocamelus","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","Boselaphus_tragocamelus"
"Bubalus bubalis","Bubalus bubalis",NA,"cathemeral","cathemeral","cathemeral","Bubalus_bubalis"
"Bubalus depressicornis","Bubalus depressicornis","diurnal","diurnal","diurnal","diurnal","Bubalus_depressicornis"
"Bubalus mindorensis","Bubalus mindorensis","diurnal","diurnal/crepuscular","crepuscular","diurnal","Bubalus_mindorensis"
"Bubalus quarlesi","Bubalus quarlesi","diurnal","diurnal","diurnal","diurnal","Bubalus_quarlesi"
"Budorcas taxicolor","Budorcas taxicolor","diurnal","diurnal","diurnal","diurnal","Budorcas_taxicolor"
"Camelus dromedarius","Camelus dromedarius","diurnal","diurnal","diurnal","diurnal","Camelus_dromedarius"
"Capra caucasica","Capra caucasica",NA,"cathemeral","cathemeral","cathemeral","Capra_caucasica"
"Capra falconeri","Capra falconeri","diurnal","diurnal","diurnal","diurnal","Capra_falconeri"
"Capra hircus","Capra hircus","diurnal","diurnal","diurnal","diurnal","Capra_hircus"
"Capra ibex","Capra ibex",NA,"cathemeral/crepuscular","crepuscular","cathemeral","Capra_ibex"
"Capra pyrenaica","Capra pyrenaica",NA,"cathemeral/crepuscular","crepuscular","cathemeral","Capra_pyrenaica"
"Capra sibirica","Capra sibirica","diurnal","diurnal/crepuscular","crepuscular","diurnal","Capra_sibirica"
"Capreolus capreolus","Capreolus capreolus",NA,"cathemeral/crepuscular","crepuscular","cathemeral","Capreolus_capreolus"
"Capreolus pygargus","Capreolus pygargus",NA,"cathemeral/crepuscular","crepuscular","cathemeral","Capreolus_pygargus"
"Capricornis crispus","Capricornis crispus",NA,"cathemeral","cathemeral","cathemeral","Capricornis_crispus"
"Capricornis milneedwardsii","Capricornis milneedwardsii","diurnal","diurnal/crepuscular","crepuscular","diurnal","Capricornis_milneedwardsii"
"Catagonus wagneri","Catagonus wagneri","diurnal","diurnal","diurnal","diurnal","Catagonus_wagneri"
"Cephalophus callipygus","Cephalophus callipygus","diurnal","diurnal","diurnal","diurnal","Cephalophus_callipygus"
"Cephalophus dorsalis","Cephalophus dorsalis","nocturnal","nocturnal","nocturnal","nocturnal","Cephalophus_dorsalis"
"Cephalophus jentinki","Cephalophus jentinki","nocturnal","nocturnal","nocturnal","nocturnal","Cephalophus_jentinki"
"Cephalophus leucogaster","Cephalophus leucogaster","diurnal","diurnal","diurnal","diurnal","Cephalophus_leucogaster"
"Cephalophus natalensis","Cephalophus natalensis","diurnal","diurnal","diurnal","diurnal","Cephalophus_natalensis"
"Cephalophus nigrifrons","Cephalophus nigrifrons","nocturnal","nocturnal","nocturnal","nocturnal","Cephalophus_nigrifrons"
"Cephalophus ogilbyi","Cephalophus ogilbyi","diurnal","diurnal","diurnal","diurnal","Cephalophus_ogilbyi"
"Cephalophus rufilatus","Cephalophus rufilatus","diurnal","diurnal","diurnal","diurnal","Cephalophus_rufilatus"
"Cephalophus silvicultor","Cephalophus silvicultor","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","Cephalophus_silvicultor"
"Cephalophus spadix","Cephalophus spadix","nocturnal","nocturnal","nocturnal","nocturnal","Cephalophus_spadix"
"Cephalophus zebra","Cephalophus zebra","nocturnal","nocturnal","nocturnal","nocturnal","Cephalophus_zebra"
"Cervus elaphus","Cervus elaphus",NA,"cathemeral/crepuscular","crepuscular","cathemeral","Cervus_elaphus"
"Cervus nippon","Cervus nippon",NA,"cathemeral/crepuscular","crepuscular","cathemeral","Cervus_nippon"
"Connochaetes gnou","Connochaetes gnou","diurnal","diurnal/crepuscular","crepuscular","diurnal","Connochaetes_gnou"
"Connochaetes taurinus","Connochaetes taurinus",NA,"cathemeral","cathemeral","cathemeral","Connochaetes_taurinus"
"Dama dama","Dama dama",NA,"cathemeral/crepuscular","crepuscular","cathemeral","Dama_dama"
