"","Species_name","Alt_name.notes","Family","Order","Genome","Annotated..NCBI.","Diel_Pattern","AltDiel_Pattern","Method.1","Confidence.1","Comments.1","Source.1","Method.2","Confidence.2","Comments.2","Source.2","Method.3","Confidence.3","Comments.3","Source.3","Method.4","Confidence.4","Comments.4","Source.4","X","X.1"
"1","Pediculus humanus","","","Pediculidae (formerly Anoplura)","Yes","Yes",NA,"","","","","","",NA,"","","",NA,NA,"","",NA,"","","",""
"2","Blattella germanica","","Ectobiidae","Blattodea","Yes","Yes","Nocturnal","","Lab: locomotory patterns","5","data could be a little weird because their activity may have been altered by mating effects","https://doi.org/10.1111/j.1365-3032.1994.tb01071.x","",NA,"","","",NA,NA,"","",NA,"","","",""
"3","Agrilus planipennis","","Buprestidae","Coleoptera","Yes","Yes","Diurnal","","Field: trapping","2","The paper admits that they don't really know the activity patterns of this species fully, but they think it's Diurnal. They used nets as their means of trapping.","doi.org/10.1007/s10340-013-0539-1","",NA,"","","",NA,NA,"","",NA,"","","",""
"4","Anoplophora glabripennis","","Cerambycidae","Coleoptera","Yes","Yes","Nocturnal","","Lab: foraging and mating activity","?","While the paper suggests a general Nocturnal pattern (foraging activity is highest around 21:30 and much lower throughout the day), it seems that the lighting system in the lab deviated from a typical day-night simulation; this could mess up behaviours.","https://doi.org/10.3390/insects14050465","",NA,"","","",NA,NA,"","",NA,"","","",""
"5","Colaspis brunnea","","Chrysomelidae","Coleoptera","No","No","Nocturnal","","Field: trapping","2","","https://doi.org/10.1093/ee/nvv132","",NA,"","","",NA,NA,"","",NA,"","","",""
"6","Colaspis crinicornis","","Chrysomelidae","Coleoptera","No","No","Nocturnal","","Field: counting","2","In discussion they said these guys like to hide during day and like to take more open positions. Manual counting was used to look at this species in the field.","https://doi.org/10.1093/ee/nvv132","",NA,"","","",NA,NA,"","",NA,"","","",""
"7","Dendroctonus ponderosae","","Curculionidae","Coleoptera","Yes","Yes",NA,"","","","","","",NA,"","","",NA,NA,"","",NA,"","","",""
"8","Hypothenemus hampei","","Curculionidae","Coleoptera","Yes","No",NA,"","","","","","",NA,"","","",NA,NA,"","",NA,"","","",""
"9","Leptinotarsa decemlineata","","Chrysomelidae","Coleoptera","Yes","Yes",NA,"","","","","","",NA,"","","",NA,NA,"","",NA,"","","",""
"10","Ochicanthon devagiriensis","","Scarabaeidae","Coleoptera","No","No",NA,"","Field: trapping","2","Generalist in this paper means no specific Diurnal or Nocturnal pattern, just goes with the flow","https://doi.org/10.1177/194008291100400103","",NA,"","","",NA,NA,"","",NA,"","","",""
"11","Onthophagus castetsi","","Scarabaeidae","Coleoptera","No","No","Diurnal","","Field: trapping","2","Diurnal dudes","https://doi.org/10.1177/194008291100400103","",NA,"","","",NA,NA,"","",NA,"","","",""
"12","Onthophagus quaestus","","Scarabaeidae","Coleoptera","No","No","Nocturnal","","Field: trapping","2","Nocturnal dudes","https://doi.org/10.1177/194008291100400103","",NA,"","","",NA,NA,"","",NA,"","","",""
"13","Onthophagus refulgens","","Scarabaeidae","Coleoptera","No","No",NA,"","Field: trapping","2","Generalist in this paper means no specific Diurnal or Nocturnal pattern, just goes with the flow","https://doi.org/10.1177/194008291100400103","",NA,"","","",NA,NA,"","",NA,"","","",""
