"Species_name","Parvorder","Diel_Pattern_2","Diel_Pattern","New_Pattern","Confidence","tips","column","value"
"Balaena mysticetus","Mysticeti","Cathemeral","cathemeral","cathemeral","3,4,4,4","Balaena_mysticetus","Conf3.1","nocturnal/crepuscular"
"Balaena mysticetus","Mysticeti","Cathemeral","cathemeral","cathemeral","3,4,4,4","Balaena_mysticetus","Conf4.1","cathemeral"
"Balaena mysticetus","Mysticeti","Cathemeral","cathemeral","cathemeral","3,4,4,4","Balaena_mysticetus","Conf4.2","cathemeral"
"Balaenoptera acutorostrata","Mysticeti","Nocturnal","nocturnal","diurnal","3,3,4,3,4,4,2,2","Balaenoptera_acutorostrata","Conf2.2","diurnal/crepuscular"
"Balaenoptera acutorostrata","Mysticeti","Nocturnal","nocturnal","diurnal","3,3,4,3,4,4,2,2","Balaenoptera_acutorostrata","Conf3.1","nocturnal"
"Balaenoptera acutorostrata","Mysticeti","Nocturnal","nocturnal","diurnal","3,3,4,3,4,4,2,2","Balaenoptera_acutorostrata","Conf3.2","cathemeral"
"Balaenoptera acutorostrata","Mysticeti","Nocturnal","nocturnal","diurnal","3,3,4,3,4,4,2,2","Balaenoptera_acutorostrata","Conf3ByS.1","diurnal"
"Balaenoptera acutorostrata","Mysticeti","Nocturnal","nocturnal","diurnal","3,3,4,3,4,4,2,2","Balaenoptera_acutorostrata","Conf4.1","diurnal"
"Balaenoptera acutorostrata","Mysticeti","Nocturnal","nocturnal","diurnal","3,3,4,3,4,4,2,2","Balaenoptera_acutorostrata","Conf4.2","diurnal"
"Balaenoptera acutorostrata","Mysticeti","Nocturnal","nocturnal","diurnal","3,3,4,3,4,4,2,2","Balaenoptera_acutorostrata","Conf4.3","nocturnal"
"Balaenoptera bonaerensis","Mysticeti","Cathemeral","cathemeral","nocturnal/cathemeral","3,3,3,3,3, 4","Balaenoptera_bonaerensis","Conf3.1","cathemeral"
"Balaenoptera bonaerensis","Mysticeti","Cathemeral","cathemeral","nocturnal/cathemeral","3,3,3,3,3, 4","Balaenoptera_bonaerensis","Conf3.2","cathemeral"
"Balaenoptera bonaerensis","Mysticeti","Cathemeral","cathemeral","nocturnal/cathemeral","3,3,3,3,3, 4","Balaenoptera_bonaerensis","Conf3.3","cathemeral"
"Balaenoptera bonaerensis","Mysticeti","Cathemeral","cathemeral","nocturnal/cathemeral","3,3,3,3,3, 4","Balaenoptera_bonaerensis","Conf3.4","nocturnal/cathemeral"
"Balaenoptera bonaerensis","Mysticeti","Cathemeral","cathemeral","nocturnal/cathemeral","3,3,3,3,3, 4","Balaenoptera_bonaerensis","Conf3ByS.1","nocturnal"
"Balaenoptera bonaerensis","Mysticeti","Cathemeral","cathemeral","nocturnal/cathemeral","3,3,3,3,3, 4","Balaenoptera_bonaerensis","Conf4.1","cathemeral"
"Balaenoptera borealis","Mysticeti","Cathemeral","cathemeral","cathemeral","4,3,3,2","Balaenoptera_borealis","Conf2.1","unclear/diurnal"
"Balaenoptera borealis","Mysticeti","Cathemeral","cathemeral","cathemeral","4,3,3,2","Balaenoptera_borealis","Conf3.1","diurnal"
"Balaenoptera borealis","Mysticeti","Cathemeral","cathemeral","cathemeral","4,3,3,2","Balaenoptera_borealis","Conf3.2","nocturnal"
"Balaenoptera borealis","Mysticeti","Cathemeral","cathemeral","cathemeral","4,3,3,2","Balaenoptera_borealis","Conf4.1","cathemeral"
