"tips","Mass","Body_length","Dive_depth"
"Balaena_mysticetus",90000,20,416
"Balaenoptera_acutorostrata",0,0,118
"Balaenoptera_bonaerensis",0,0,105
"Balaenoptera_borealis",0,0,57
"Balaenoptera_brydei",0,0,267
"Balaenoptera_edeni",40000,16.5,300
"Balaenoptera_musculus",0,0,506
"Balaenoptera_physalus",90000,24,528
"Balaenoptera_ricei",0,0,270
"Berardius_bairdii",12000,11.1,1566
"Cephalorhynchus_commersonii",0,0,100
"Cephalorhynchus_eutropia",0,0,20
"Cephalorhynchus_heavisidii",0,0,166
"Delphinapterus_leucas",1600,5.5,1275
"Delphinus_delphis",200,2.5,258
"Delphinus_sp.",0,0,280
"Eschrichtius_robustus",45000,15,170
"Eubalaena_australis",80000,17,184
"Eubalaena_glacialis",0,0,175
"Feresa_attenuata",0,0,364
"Globicephala_macrorhynchus",0,0,1168
"Globicephala_melas",2300,6.7,828
"Grampus_griseus",0,0,566
"Hyperoodon_ampullatus",7500,10,1453
"Kogia_sima",0,0,500
"Lagenodelphis_hosei",210,2.7,600
"Lagenorhynchus_acutus",0,0,191
"Lagenorhynchus_albirostris",0,0,200
"Lagenorhynchus_australis",0,0,20
"Lagenorhynchus_cruciger",0,0,200
"Lagenorhynchus_obliquidens",198,2.5,214
"Lagenorhynchus_obscurus",0,0,200
"Lissodelphis_borealis",115,3.1,250
"Lissodelphis_sp.",0,0,200
"Megaptera_novaeangliae",0,0,616
"Mesoplodon_bidens",0,0,1386
"Mesoplodon_densirostris",1033,4.7,1500
"Mesoplodon_europaeus",0,0,872
"Mesoplodon_mirus",0,0,939
"Monodon_monoceros",1600,4.8,1400
"Neophocaena_asiaeorientalis",0,0,20
"Neophocaena_phocaenoides",0,0,20
"Neophocaena_sp.",0,0,50
"Orcaella_brevirostris",0,0,110
"Orcaella_heinsohni",0,0,30
"Orcinus_orca",10000,9.8,768
"Peponocephala_electra",0,0,472
"Phocoena_phocoena",70,1.89,226
"Phocoena_sinus",35,1.5,30
"Phocoenoides_dalli",200,2.4,180
"Physeter_macrocephalus",57000,18.3,3200
"Pontoporia_blainvillei",0,0,35
"Pseudorca_crassidens",2000,6,2345
"Sotalia_guianensis",0,0,35
"Sousa_chinensis",0,0,30
"Sousa_plumbea",0,0,30
"Stenella_attenuata",119,2.6,213
"Stenella_clymene",0,0,700
"Stenella_coeruleoalba",156,2.56,700
"Stenella_frontalis",143,2.3,60
"Stenella_longirostris",82,2.35,600
"Steno_bredanensis",155,2.65,400
"Tursiops_aduncus",0,0,1000
"Tursiops_truncatus",650,3.8,535
"Ziphius_cavirostris",3000,7,2992
