"tips","Parvorder","Family","Diel_Pattern","max_crep","Confidence","Body_length","Body_mass","Dive_depth","Orbit_ratio","Diet","Habitat","Prey_capture","Brain_mass","Feeding_method","fam_colours"
"Balaena_mysticetus","Mysticeti","Balaenidae","cathemeral","cathemeral",4,20,90000,416,9.6752035829063,"zooplankton + fish","coastal-pelagic","Skim",NA,"Skim","darkorchid3"
"Balaenoptera_acutorostrata","Mysticeti","Balaenopteridae","diurnal","diurnal",4,0,6220,118,22.2157,"zooplankton + fish","pelagic","Engulfment",NA,"Skim/lunge","magenta"
"Balaenoptera_bonaerensis","Mysticeti","Balaenopteridae","cathemeral","cathemeral",4,0,8400,105,NA,NA,NA,NA,NA,"Lunge","magenta"
"Balaenoptera_borealis","Mysticeti","Balaenopteridae","cathemeral","cathemeral",4,0,18516,57,14.7317,"zooplankton + fish","pelagic","Engulfment","4900","Skim/lunge","magenta"
"Balaenoptera_brydei","Mysticeti","Balaenopteridae","nocturnal","nocturnal",4,0,NA,267,NA,NA,NA,NA,NA,NA,"magenta"
"Balaenoptera_edeni","Mysticeti","Balaenopteridae","diurnal","diurnal",4,16.5,40000,300,14.2988284,"zooplankton + fish","pelagic","Engulfment",NA,"Skim/lunge","magenta"
"Balaenoptera_musculus","Mysticeti","Balaenopteridae","cathemeral","cathemeral",4,0,102213.5,506,NA,"zooplankton + fish","pelagic",NA,"3636","Skim/lunge","magenta"
"Balaenoptera_omurai","Mysticeti","Balaenopteridae","cathemeral","cathemeral",3,NA,NA,NA,NA,"zooplankton + fish","pelagic",NA,NA,"Skim","magenta"
"Balaenoptera_physalus","Mysticeti","Balaenopteridae","cathemeral","cathemeral",4,24,90000,528,12.27531,"zooplankton + fish","pelagic","Engulfment","7111.43","Skim/lunge","magenta"
"Balaenoptera_ricei","Mysticeti","Balaenopteridae","diurnal","diurnal",4,0,NA,270,NA,"zooplankton + fish","pelagic",NA,NA,"Skim","magenta"
"Berardius_arnuxii","Odontoceti","Ziphiidae","diurnal","diurnal",1,NA,NA,NA,NA,"cephalopods + fish","pelagic",NA,NA,"Suction","green2"
"Berardius_bairdii","Odontoceti","Ziphiidae","cathemeral","cathemeral",4,11.1,12000,1566,15.16077,"cephalopods + fish","pelagic",NA,NA,"Suction/raptorial","green2"
"Berardius_minimus","Odontoceti","Ziphiidae",NA,NA,0,NA,NA,NA,21.51527432023,"cephalopods + fish","pelagic","Suction",NA,"Suction","green2"
