"Age","Echo","Diet","Dentition","FM","Habitat","tips"
"Eocene","no echo","benthic invertebrates + fish","heterodont","biting","coastal","Aegytocetus_tarfa"
"Oligocene","no echo","zooplankton + fish","heterodont","suction","coastal-pelagic","Aetiocetus_cotylalveus"
"Oligocene","no echo","zooplankton + fish","heterodont","suction","coastal-pelagic","Aetiocetus_weltoni"
"Miocene","no echo","zooplankton + fish","edentulous - baleen","filter","coastal-pelagic","Aglaocetus_moreni"
"Miocene","no echo","zooplankton + fish","edentulous - baleen","filter","coastal-pelagic","Aglaocetus_patulus"
"Oligocene","echo","benthic invertebrates + fish","heterodont","biting","pelagic","Agorophiid_USNM"
"Oligocene","echo","benthic invertebrates + fish","heterodont","biting","pelagic","Albertocetus_ChM"
"Miocene","echo","cephalopods + fish","homodont","biting","coastal-pelagic","Albireo_whistleri"
"Eocene","no echo","benthic invertebrates + fish","heterodont","biting","coastal","Ambulocetus_natans"
"Oligocene","echo","tetrapods + fish","heterodont","biting","pelagic","Ankylorhiza_tiedemani"
"Miocene","echo","cephalopods + fish","homodont","suction","pelagic","Aprixokogia_kelloggi"
"Miocene","echo","fish","homodont","biting","coastal-pelagic","Argyrocetus_joaquinensis"
"Eocene","no echo","benthic invertebrates + fish","heterodont","biting","coastal","Artiocetus_clavis"
"Miocene","echo","cephalopods + fish","homodont","biting","pelagic","Atocetus_iquensis"
"Miocene","echo","cephalopods + fish","homodont","suction","pelagic","Aulophyseter_morricei"
"Extant","no echo","zooplankton + fish","edentulous - baleen","filter","pelagic","Balaena_mysticetus"
"Extant","no echo","zooplankton + fish","edentulous - baleen","filter","pelagic","Balaenoptera_acutorostrata"
"Extant","no echo","zooplankton + fish","edentulous - baleen","filter","pelagic","Balaenoptera_borealis"
"Extant","no echo","zooplankton + fish","edentulous - baleen","filter","pelagic","Balaenoptera_ricei"
"Extant","no echo","zooplankton + fish","edentulous - baleen","filter","pelagic","Balaenoptera_edeni"
"Pliocene","no echo","zooplankton + fish","edentulous - baleen","filter","pelagic","Balaenoptera_floridana"
"Extant","no echo","zooplankton + fish","edentulous - baleen","filter","pelagic","Balaenoptera_musculus"
"Extant","no echo","zooplankton + fish","edentulous - baleen","filter","pelagic","Balaenoptera_omurai"
"Extant","no echo","zooplankton + fish","edentulous - baleen","filter","pelagic","Balaenoptera_physalus"
"Pliocene","no echo","zooplankton + fish","edentulous - baleen","filter","pelagic","Balaenoptera_sp"
"Miocene","no echo","zooplankton + fish","edentulous - baleen","filter","pelagic","Balaenopteridae_NMNZ"
"Pliocene","no echo","zooplankton + fish","edentulous - baleen","filter","coastal-pelagic","Balaenula_astensis"
"Eocene","no echo","tetrapods + fish","heterodont","biting","coastal-pelagic","Basilosaurus_isis"
"Extant","echo","cephalopods + fish","reduced","suction","pelagic","Berardius_arnuxii"
"Extant","echo","cephalopods + fish","reduced","suction","pelagic","Berardius_bairdii"
"Extant","echo","cephalopods + fish","reduced","suction","pelagic","Berardius_minimus"
"Miocene","echo","cephalopods + fish","homodont","biting","coastal-pelagic","Brachydelphis_mazeazi"
"Extant","no echo","zooplankton + fish","edentulous - baleen","filter","pelagic","Caperea_marginata"
"Extant","echo","cephalopods + fish","homodont","biting","coastal","Cephalorhynchus_commersonii"
"Extant","echo","cephalopods + fish","homodont","biting","coastal","Cephalorhynchus_eutropia"
"Extant","echo","cephalopods + fish","homodont","biting","coastal","Cephalorhynchus_heavisidii"
"Extant","echo","cephalopods + fish","homodont","biting","coastal","Cephalorhynchus_hectori"
"Miocene","no echo","zooplankton + fish","edentulous - baleen","filter","pelagic","Cephalotropis_coronatus"
"Miocene","echo","cephalopods + fish","homodont","biting","pelagic","Chavinziphius_maxillocristatus"
"Miocene","echo","cephalopods + fish","homodont","biting","coastal-pelagic","Chilcacetus_cavirhinus"
"Oligocene","no echo","zooplankton + fish","heterodont","suction","coastal-pelagic","Coronodon_havensteini"
"Oligocene","echo","benthic invertebrates + fish","heterodont","biting","coastal-pelagic","Cotylocara_macei"
"Eocene","no echo","tetrapods + fish","heterodont","biting","coastal-pelagic","Cynthiacetus_peruvianus"
"Extant","echo","cephalopods + fish","homodont","suction","coastal-pelagic","Delphinapterus_leucas"
"Miocene","echo","cephalopods + fish","homodont","biting","coastal-pelagic","Delphinodon_dividum"
"Extant","echo","cephalopods + fish","homodont","biting","coastal-pelagic","Delphinus_delphis"
"Miocene","echo","cephalopods + fish","homodont","biting","coastal-pelagic","Dilophodelphis_fordycei"
"Miocene","no echo","zooplankton + fish","edentulous - baleen","filter","coastal-pelagic","Diorocetus_hiatus"
"Eocene","no echo","tetrapods + fish","heterodont","biting","coastal-pelagic","Dorudon_atrox"
"Oligocene","echo","benthic invertebrates + fish","heterodont","biting","coastal-pelagic","Echovenator_sandersi"
"Miocene","echo","cephalopods + fish","homodont","biting","coastal-pelagic","Ensidelphis_riveroi"
"Extant","no echo","benthic invertebrates + fish","edentulous - baleen","suction","coastal-pelagic","Eschrichtius_robustus"
"Pliocene","echo","cephalopods + fish","homodont","biting","coastal-pelagic","Etruridelphis_PU"
"Extant","no echo","zooplankton + fish","edentulous - baleen","filter","pelagic","Eubalaena_australis"
"Extant","no echo","zooplankton + fish","edentulous - baleen","filter","pelagic","Eubalaena_glacialis"
"Miocene","echo","fish","homodont","biting","coastal-pelagic","Eurhinodelphid_UCMP"
"Miocene","echo","fish","homodont","biting","coastal-pelagic","Eurhinodelphinidae_chilcocetus"
