"tips","max_lat","mean_lat","min_lat"
"Lagenorhynchus_acutus",7560000,6387838.3838,5133333.333
"Tursiops_aduncus",3666666.667,2072823.53178118,24175.82418
"Lagenorhynchus_albirostris",7560000,6270762.16709091,5100000
"Neophocaena_asiaeorientalis",4733333.333,4733333.333,4733333.333
"Stenella_attenuata",5e+06,2798862.35667969,24175.82418
"Feresa_attenuata",5100000,2875840.49776388,24175.82418
"Lagenorhynchus_australis",6466666.667,5666666.66666667,5e+06
"Lissodelphis_borealis",5933333.333,5088070.1754,4600000
"Steno_bredanensis",5100000,2847997.51414971,24175.82418
"Orcaella_brevirostris",874285.7143,457142.85715,40000
"Sousa_chinensis",1707692.308,873992.6741,40000
"Stenella_clymene",2750000,1386315.4537,4e+05
"Stenella_coeruleoalba",6345454.545,3498710.25757918,24175.82418
"Cephalorhynchus_commersonii",6466666.667,6e+06,5533333.333
"Pseudorca_crassidens",6800000,3346604.26383352,24175.82418
"Lagenorhynchus_cruciger",6466666.667,5223171.3472,4600000
"Phocoenoides_dalli",6800000,5094943.24041176,3800000
"Delphinus_delphis",6800000,4151553.44516364,2e+05
"Phocoena_dioptrica",6466666.667,5224930.625,4200000
"Peponocephala_electra",4200000,2090320.7125295,24175.82418
"Cephalorhynchus_eutropia",6466666.667,5733333.3335,5e+06
"Stenella_frontalis",5581818.182,2797274.60525789,2e+05
"Grampus_griseus",6800000,3628659.889644,24175.82418
"Sotalia_guianensis",4e+05,4e+05,4e+05
"Cephalorhynchus_heavisidii",3800000,3800000,3800000
"Cephalorhynchus_hectori",5133333.333,4816666.6665,4500000
"Orcaella_heinsohni",1672727.273,1672727.273,1672727.273
"Lagenodelphis_hosei",5e+06,2392575.60296208,24175.82418
"Delphinapterus_leucas",7480000,6676666.66675,6066666.667
"Stenella_longirostris",4733333.333,2739560.56437781,24175.82418
"Globicephala_macrorhynchus",6333333.333,3179080.26002659,24175.82418
"Globicephala_melas",7560000,4371613.85751429,2e+05
"Monodon_monoceros",7560000,7520000,7480000
"Lagenorhynchus_obliquidens",6800000,5159097.74428571,2920000
"Orcinus_orca",7560000,3867264.17469059,24175.82418
"Lissodelphis_peronii",6466666.667,4525221.94302857,1700000
"Neophocaena_phocaenoides",3533333.333,2260733.71071667,874285.7143
"Phocoena_phocoena",7560000,5755618.6868125,2400000
"Sousa_plumbea",3666666.667,2573207.46482857,317647.0588
"Sousa_sahulensis",2866666.667,1935353.53566667,1266666.667
"Phocoena_spinipinnis",6466666.667,4675000,1700000
"Sousa_teuszii",2400000,1450000,5e+05
"Tursiops_truncatus",6800000,3502265.97265525,24175.82418
