"Species_name","tabulated_diel"
"Balaena mysticetus","cathemeral/crepuscular"
"Balaenoptera acutorostrata","diurnal"
"Balaenoptera bonaerensis","cathemeral"
"Balaenoptera borealis","cathemeral"
"Balaenoptera brydei","nocturnal"
"Balaenoptera edeni","cathemeral/crepuscular"
"Balaenoptera musculus","cathemeral/crepuscular"
"Balaenoptera omurai","cathemeral"
"Balaenoptera physalus","cathemeral"
"Balaenoptera ricei","diurnal"
"Berardius arnuxii","diurnal"
"Berardius bairdii","cathemeral"
"Caperea marginata","cathemeral"
"Cephalorhynchus commersonii","cathemeral"
"Cephalorhynchus eutropia","cathemeral"
"Cephalorhynchus heavisidii","nocturnal/crepuscular"
"Cephalorhynchus hectori","cathemeral"
"Delphinapterus leucas","diurnal"
"Delphinus delphis","nocturnal"
"Eschrichtius robustus","nocturnal"
"Eubalaena australis","nocturnal/crepuscular"
"Eubalaena glacialis","nocturnal/crepuscular"
"Eubalaena japonica","nocturnal"
"Feresa attenuata","nocturnal"
"Globicephala macrorhynchus","nocturnal/crepuscular"
"Globicephala melas","nocturnal"
"Grampus griseus","nocturnal"
"Hyperoodon ampullatus","cathemeral"
"Hyperoodon planifrons","diurnal/crepuscular"
"Indopacetus pacificus","nocturnal/crepuscular"
"Inia boliviensis","nocturnal"
"Inia geoffrensis","cathemeral"
"Inia humboldtiana","nocturnal"
"Kogia breviceps","nocturnal/crepuscular"
"Kogia sima","cathemeral"
"Lagenodelphis hosei","nocturnal"
"Lagenorhynchus acutus","nocturnal"
"Lagenorhynchus albirostris","nocturnal/crepuscular"
"Lagenorhynchus obliquidens","cathemeral/crepuscular"
"Lagenorhynchus obscurus","nocturnal"
"Lipotes vexillifer","nocturnal"
"Lissodelphis borealis","nocturnal"
"Lissodelphis peronii","nocturnal"
"Megaptera novaeangliae","cathemeral"
"Mesoplodon bidens","cathemeral"
"Mesoplodon densirostris","cathemeral"
"Mesoplodon europaeus","cathemeral"
"Mesoplodon ginkgodens","nocturnal"
"Mesoplodon hotaula","diurnal"
"Mesoplodon mirus","diurnal/crepuscular"
"Mesoplodon stejnegeri","cathemeral"
"Monodon monoceros","cathemeral/crepuscular"
"Neophocaena asiaeorientalis","nocturnal/crepuscular"
"Neophocaena phocaenoides","nocturnal/crepuscular"
"Neophocaena sunameri","diurnal"
"Orcaella brevirostris","cathemeral/crepuscular"
"Orcaella heinsohni","nocturnal"
"Orcinus orca","diurnal"
"Peponocephala electra","nocturnal"
"Phocoena phocoena","nocturnal/crepuscular"
"Phocoena sinus","cathemeral/crepuscular"
"Phocoena spinipinnis","diurnal"
"Phocoenoides dalli","cathemeral/crepuscular"
"Physeter catodon","cathemeral/crepuscular"
"Platanista gangetica","nocturnal/crepuscular"
"Platanista minor","nocturnal/crepuscular"
"Pontoporia blainvillei","nocturnal/crepuscular"
"Pseudorca crassidens","diurnal"
"Sotalia fluviatilis","cathemeral/crepuscular"
"Sotalia guianensis","cathemeral/crepuscular"
"Sousa chinensis","nocturnal"
"Sousa plumbea","nocturnal/crepuscular"
"Sousa teuszii","nocturnal"
"Stenella attenuata","nocturnal"
"Stenella clymene","nocturnal"
"Stenella coeruleoalba","nocturnal"
"Stenella frontalis","nocturnal"
"Stenella longirostris","nocturnal"
"Steno bredanensis","nocturnal"
"Tursiops aduncus","nocturnal/crepuscular"
"Tursiops truncatus","diurnal/crepuscular"
"Ziphius cavirostris","cathemeral"
