"tips","Body_mass","Body_length","Dive_depth","Bizygomatic_width","Average_orbit_length","Orbit_ratio","Habitat","Prey_capture"
"Aetiocetus_cotylalveus",NA,NA,NA,283.573333333333,83.1766666666667,29.331,NA,NA
"Agorophius_pygmaeus",NA,NA,NA,272.981666666667,57.4558333333333,20.9812,NA,NA
"Albertocetus_meffordorum",NA,NA,NA,191.495,45.6808333333333,24.06995,NA,NA
"Argyrocetus_joaquinensis",NA,NA,NA,209.746666666667,57.9983333333333,27.65161,NA,NA
"Balaena_mysticetus",90000,20,416,1744.58,168.791666666667,9.6752035829063,"Nearshore","Skim"
"Balaenoptera_acutorostrata",0,0,118,745.567777777778,164.328888888889,22.2157,"Offshore","Engulfment"
"Balaenoptera_bonaerensis",0,0,105,NA,NA,NA,NA,NA
"Balaenoptera_borealis",0,0,57,1578.98,237.406666666667,14.7317,"Offshore","Engulfment"
"Balaenoptera_brydei",0,0,267,NA,NA,NA,NA,NA
"Balaenoptera_edeni",40000,16.5,300,1546.98666666667,226.748333333333,14.2988284,"Offshore","Engulfment"
"Balaenoptera_musculus",0,0,506,NA,NA,NA,NA,NA
"Balaenoptera_physalus",90000,24,528,2010.38333333333,257.26,12.27531,"Offshore","Engulfment"
"Balaenoptera_ricei",0,0,270,NA,NA,NA,NA,NA
"Berardius_bairdi",NA,NA,NA,NA,NA,NA,"Offshore","Suction"
"Berardius_bairdii",12000,11.1,1566,574.406666666667,92.4666666666667,15.16077,NA,NA
"Berardius_minimus",NA,NA,NA,518.19,111.49,21.51527432023,"Offshore","Suction"
"Caperea_marginata",NA,NA,NA,499.38,119.75,22.650844,"Offshore","Skim"
"Cephalorhynchus_commersoni",NA,NA,NA,NA,NA,NA,"Nearshore","Ram"
"Cephalorhynchus_commersonii",0,0,100,141.013333333333,43.3158333333333,30.72825,NA,NA
"Cephalorhynchus_eutropia",0,0,20,155.563333333333,42.36,36.2246,"Nearshore","Ram"
"Cephalorhynchus_heavisidi",NA,NA,NA,NA,NA,NA,"Nearshore","Ram"
"Cephalorhynchus_heavisidii",0,0,166,171.493333333333,46.16,26.91649,NA,NA
"Cephalorhynchus_hectori",NA,NA,NA,133.318333333333,40.9,30.68095,"Nearshore","Ram"
"Chonecetus_sp.",NA,NA,NA,229.056666666667,57.3,25.0156438726953,NA,NA
"Coronodon_havensteini",NA,NA,NA,457.703333333333,108.328333333333,23.667805,NA,NA
"Cotylocara_macei",NA,NA,NA,274.013333333333,59.4433333333333,21.69359,NA,NA
"Delphinapterus_leucas",1600,5.5,1275,269.3,63.8991666666667,23.81195,"Nearshore","Suction"
"Delphinodon_dividum",NA,NA,NA,163.623333333333,51.1066666666667,31.23433,NA,NA
"Delphinus_delphis",200,2.5,258,181.146944444444,51.1501388888889,28.2617787657773,"Offshore","Ram"
"Delphinus_sp.",0,0,280,NA,NA,NA,NA,NA
"Diorocetus_hiatus",NA,NA,NA,576.86,125.45,21.7470443435149,NA,NA
"Dorudon_atrox",NA,NA,NA,390.143333333333,88.3383333333333,22.642533,NA,NA
"Echovenator_sandersi",NA,NA,NA,179.62,47.1666666666667,26.25913,NA,NA
"Eschrichtius_robustus",45000,15,170,1191.32333333333,182.488333333333,15.3181196260741,"Nearshore","Suction"
"Eubalaena_australis",80000,17,184,1647.49333333333,132.408333333333,8.03695715511241,"Offshore","Skim"
"Eubalaena_glacialis",0,0,175,NA,NA,NA,NA,NA
"Eurhinodelphis_longirostris",NA,NA,NA,184.21,41.7166666666667,22.64625,NA,NA
"Feresa_attenuata",0,0,364,216.982222222222,60.4516666666667,27.8615166666667,"Offshore","Ram"
"Georgiacetus_vogtlensis",NA,NA,NA,302.576666666667,52.245,17.26669,NA,NA
"Globicephala_macrorhynchus",0,0,1168,NA,NA,NA,NA,NA
"Globicephala_melas",2300,6.7,828,431.378888888889,102.079444444444,23.7645666666667,"Offshore","Suction"
"Grampus_griseus",0,0,566,323.565555555556,76.7972222222222,23.7357666666667,"Offshore","Suction"
"Hyperoodon_ampullatus",7500,10,1453,896.24,189.54,17.2414,"Offshore","Suction"
"Indopacetus_pacificus",NA,NA,NA,334.276666666667,107.746666666667,30.78672,"Offshore","Suction"
"Inia_geoffrensis",NA,NA,NA,228.976666666667,43.9554166666667,19.1042425,"Freshwater","Snap"
"Kentriodon_pernix",NA,NA,NA,139.853333333333,41.94,29.98855,NA,NA
"Kogia_breviceps",NA,NA,NA,388.814444444444,85.9966666666667,22.1043333333333,"Offshore","Suction"
"Kogia_sima",0,0,500,NA,NA,NA,NA,NA
