"Species_name","Family","column","value"
"Tragulus kanchil","Tragulidae","Conf3.1","cathemeral/crepuscular"
"Tragulus kanchil","Tragulidae","Conf3.2","diurnal/crepuscular"
"Tragulus kanchil","Tragulidae","Conf3.3","cathemeral/crepuscular"
"Tragulus kanchil","Tragulidae","Conf5","cathemeral/crepuscular"
"Connochaetes taurinus","Bovidae","Conf3.4","diurnal"
"Connochaetes taurinus","Bovidae","Conf4.1","diurnal/crepuscular"
"Connochaetes taurinus","Bovidae","Conf4.2","cathemeral/crepuscular"
"Connochaetes taurinus","Bovidae","Conf4.3","diurnal/crepuscular"
"Connochaetes taurinus","Bovidae","Conf5","diurnal"
"Madoqua saltiana","Bovidae","Conf1.2","unclear/crepuscular"
"Madoqua saltiana","Bovidae","Conf2.1","cathemeral"
"Madoqua saltiana","Bovidae","Conf5","nocturnal/crepuscular"
"Babyrousa celebensis","Suidae","Conf1.1","diurnal"
"Babyrousa celebensis","Suidae","Conf5","diurnal"
"Babyrousa babyrussa","Suidae","Conf1.2","diurnal"
"Babyrousa babyrussa","Suidae","Conf2.1","diurnal"
"Babyrousa babyrussa","Suidae","Conf5","diurnal"
"Bubalus mindorensis","Bovidae","Conf1.2","cathemeral"
"Bubalus mindorensis","Bovidae","Conf3.1","diurnal"
"Bubalus mindorensis","Bovidae","Conf5","cathemeral/crepuscular"
"Okapia johnstoni","Giraffidae","Conf1.3","diurnal"
"Okapia johnstoni","Giraffidae","Conf4.2","diurnal"
"Okapia johnstoni","Giraffidae","Conf5","diurnal"
"Okapia johnstoni","Giraffidae","Conf5.1","diurnal"
"Pseudoryx nghetinhensis","Bovidae","Conf1.1","diurnal/crepuscular"
"Pseudoryx nghetinhensis","Bovidae","Conf1.2","cathemeral/crepuscular"
"Pseudoryx nghetinhensis","Bovidae","Conf5","cathemeral/crepuscular"
"Hippopotamus amphibius","Hippopotamidae","Conf1.3","nocturnal"
"Hippopotamus amphibius","Hippopotamidae","Conf4","nocturnal"
"Hippopotamus amphibius","Hippopotamidae","Conf4.1","nocturnal/crepuscular"
"Hippopotamus amphibius","Hippopotamidae","Conf4.2","nocturnal/crepuscular"
"Odocoileus hemionus","Cervidae","Conf1.3","cathemeral/crepuscular"
"Odocoileus hemionus","Cervidae","Conf3.4","cathemeral"
"Odocoileus hemionus","Cervidae","Conf4","cathemeral/crepuscular"
"Odocoileus hemionus","Cervidae","Conf4.1","nocturnal"
"Odocoileus hemionus","Cervidae","Conf4.2","diurnal/crepuscular"
"Oryx leucoryx","Bovidae","Conf1.3","cathemeral/crepuscular"
"Oryx leucoryx","Bovidae","Conf4","nocturnal/crepuscular"
"Oryx leucoryx","Bovidae","Conf4.1","cathemeral/crepuscular"
"Oryx leucoryx","Bovidae","Conf4.2","nocturnal"
"Rupicapra rupicapra","Bovidae","Conf1.3","diurnal"
"Rupicapra rupicapra","Bovidae","Conf4","diurnal/crepuscular"
"Rupicapra rupicapra","Bovidae","Conf4.1","diurnal/crepuscular"
"Rupicapra rupicapra","Bovidae","Conf4.2","diurnal"
"Cervus elaphus","Cervidae","Conf3.2","cathemeral/crepuscular"
"Cervus elaphus","Cervidae","Conf3.4","cathemeral/crepuscular"
"Cervus elaphus","Cervidae","Conf4","cathemeral/crepuscular"
"Cervus elaphus","Cervidae","Conf4.1","cathemeral/crepuscular"
"Cervus elaphus","Cervidae","Conf4.3","cathemeral/crepuscular"
"Syncerus caffer","Bovidae","Conf3.2","nocturnal"
"Syncerus caffer","Bovidae","Conf3.4","nocturnal"
"Syncerus caffer","Bovidae","Conf3.5","nocturnal/crepuscular"
"Syncerus caffer","Bovidae","Conf4","nocturnal"
"Syncerus caffer","Bovidae","Conf4.1","nocturnal/crepuscular"
"Syncerus caffer","Bovidae","Conf4.3","nocturnal/crepuscular"
"Rangifer tarandus","Cervidae","Conf1.3","cathemeral"
"Rangifer tarandus","Cervidae","Conf4","cathemeral/crepuscular"
"Rangifer tarandus","Cervidae","Conf4.1","cathemeral/crepuscular"
"Rangifer tarandus","Cervidae","Conf4.2","cathemeral"
"Rangifer tarandus","Cervidae","Conf5.2","cathemeral"
"Antilocapra americana","Antilocapridae","Conf4","diurnal"
"Antilocapra americana","Antilocapridae","Conf4.1","diurnal"
"Kobus vardonii","Bovidae","Conf4","nocturnal/crepuscular"
"Kobus vardonii","Bovidae","Conf4.1","nocturnal"
"Ovis gmelini","Bovidae","Conf4","cathemeral/crepuscular"
"Ovis gmelini","Bovidae","Conf4.1","cathemeral/crepuscular"
"Capricornis sumatraensis","Bovidae","Conf3.1","cathemeral/crepuscular"
"Capricornis sumatraensis","Bovidae","Conf3.2","nocturnal"
"Capricornis sumatraensis","Bovidae","Conf3.3","cathemeral"
"Capricornis sumatraensis","Bovidae","Conf4","cathemeral"
"Hyemoschus aquaticus","Tragulidae","Conf3.1","nocturnal"
"Hyemoschus aquaticus","Tragulidae","Conf3.2","nocturnal"
"Hyemoschus aquaticus","Tragulidae","Conf3.3","nocturnal"
"Hyemoschus aquaticus","Tragulidae","Conf4","nocturnal"
"Aepyceros melampus","Bovidae","Conf3.1","cathemeral/crepuscular"
"Aepyceros melampus","Bovidae","Conf3.2","cathemeral/crepuscular"
"Aepyceros melampus","Bovidae","Conf3.3","diurnal/crepuscular"
"Aepyceros melampus","Bovidae","Conf4","diurnal"
"Cephalophus jentinki","Bovidae","Conf1.3","nocturnal"
"Cephalophus jentinki","Bovidae","Conf3.1","nocturnal/crepuscular"
"Cephalophus jentinki","Bovidae","Conf3.2","nocturnal/crepuscular"
"Cephalophus jentinki","Bovidae","Conf4","diurnal"
"Gazella dorcas","Bovidae","Conf1.3","cathemeral/crepuscular"
"Gazella dorcas","Bovidae","Conf3.1","diurnal/crepuscular"
"Gazella dorcas","Bovidae","Conf3.2","cathemeral"
"Gazella dorcas","Bovidae","Conf4","diurnal/crepuscular"
"Odocoileus virginianus","Cervidae","Conf1.3","cathemeral/crepuscular"
"Odocoileus virginianus","Cervidae","Conf3.1","cathemeral/crepuscular"
