"Species_name","Family","Conf1","Conf1.1","Conf1.2","Conf1.3","Conf1.4","Conf2","Conf2.1","Conf2.2","Conf2.3","Conf2.4","Conf2.5","Conf3","Conf3.1","Conf3.2","Conf3.3","Conf3.4","Conf3.5","Conf4","Conf4.1","Conf4.2","Conf4.3","Conf4.4","Conf4.5","Conf5","Conf5.1","Conf5.2"
"Addax nasomaculatus","Bovidae",NA,"unclear/crepuscular","nocturnal/crepuscular",NA,NA,"unclear/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aepyceros melampus","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular","cathemeral/crepuscular","diurnal/crepuscular",NA,NA,"diurnal",NA,NA,NA,NA,NA,NA,NA,NA
"Alcelaphus buselaphus","Bovidae",NA,NA,NA,NA,NA,NA,"unclear/crepuscular",NA,NA,NA,NA,NA,NA,"diurnal/crepuscular","diurnal",NA,NA,"diurnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA
"Alces alces","Cervidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nocturnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ammodorcas clarkei","Bovidae","diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ammotragus lervia","Bovidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Antidorcas marsupialis","Bovidae",NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA
"Antilocapra americana","Antilocapridae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diurnal","diurnal",NA,NA,NA,NA,NA,NA,NA
"Antilope cervicapra","Bovidae",NA,NA,NA,NA,NA,NA,"unclear/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA
"Arabitragus jayakari","Bovidae","cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Axis axis","Cervidae",NA,NA,NA,NA,NA,NA,NA,NA,"unclear/crepuscular",NA,NA,"cathemeral/crepuscular","cathemeral/crepuscular","diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Axis calamianensis","Cervidae","cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Axis kuhlii","Cervidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral","cathemeral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Axis porcinus","Cervidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cathemeral/crepuscular",NA,NA,NA,NA,NA,NA,NA,NA
