"","Species_name","Cox_diel","Maor_diel","match"
"12","Axis porcinus","cathemeral/crepuscular","nocturnal/crepuscular","Approximate"
"26","Capra ibex","diurnal","cathemeral/crepuscular","Approximate"
"28","Capra sibirica","diurnal","diurnal/crepuscular","Approximate"
"29","Capreolus capreolus","cathemeral","cathemeral/crepuscular","Approximate"
"30","Capreolus pygargus","cathemeral","cathemeral/crepuscular","Approximate"
"32","Capricornis milneedwardsii","diurnal","diurnal/crepuscular","Approximate"
"49","Dama dama","cathemeral","cathemeral/crepuscular","Approximate"
"58","Giraffa camelopardalis","diurnal","diurnal/crepuscular","Approximate"
"59","Hemitragus jemlahicus","diurnal","diurnal/crepuscular","Approximate"
"67","Kobus ellipsiprymnus","cathemeral/crepuscular","cathemeral","Approximate"
"68","Kobus leche","diurnal","diurnal/crepuscular","Approximate"
"79","Moschus berezovskii","nocturnal","nocturnal/crepuscular","Approximate"
"80","Moschus chrysogaster","nocturnal","nocturnal/crepuscular","Approximate"
"81","Moschus fuscus","nocturnal","nocturnal/crepuscular","Approximate"
"82","Moschus moschiferus","cathemeral/crepuscular","nocturnal/crepuscular","Approximate"
"85","Naemorhedus caudatus","nocturnal","cathemeral/crepuscular","Approximate"
"92","Neotragus pygmaeus","nocturnal","nocturnal/crepuscular","Approximate"
"93","Odocoileus hemionus","cathemeral/crepuscular","cathemeral","Approximate"
"103","Ovis ammon","cathemeral/crepuscular","diurnal","Approximate"
"112","Philantomba maxwellii","diurnal","diurnal/crepuscular","Approximate"
"131","Rusa unicolor","nocturnal","nocturnal/crepuscular","Approximate"
"134","Sus cebifrons","nocturnal","nocturnal/crepuscular","Approximate"
"135","Sus celebensis","diurnal","diurnal/crepuscular","Approximate"
"136","Sus philippensis","nocturnal","nocturnal/crepuscular","Approximate"
"1","Addax nasomaculatus","diurnal","nocturnal","No"
"2","Aepyceros melampus","cathemeral","diurnal","No"
"7","Antilocapra americana","cathemeral","diurnal/crepuscular","No"
"11","Axis kuhlii","diurnal","nocturnal","No"
"20","Bubalus depressicornis","cathemeral","diurnal","No"
"22","Bubalus quarlesi","cathemeral","diurnal","No"
"24","Capra caucasica","diurnal","cathemeral","No"
"31","Capricornis crispus","diurnal","cathemeral","No"
"44","Cephalophus zebra","diurnal","nocturnal","No"
"50","Damaliscus lunatus","diurnal","cathemeral","No"
"54","Gazella bennettii","nocturnal","diurnal","No"
"55","Gazella dorcas","nocturnal","diurnal/crepuscular","No"
"57","Gazella subgutturosa","diurnal","nocturnal/crepuscular","No"
"64","Hippotragus niger","cathemeral","diurnal","No"
"73","Madoqua piacentinii","cathemeral","diurnal","No"
"77","Mazama nana","cathemeral","diurnal/crepuscular","No"
"83","Muntiacus atherodes","diurnal","cathemeral","No"
"88","Nanger granti","diurnal","cathemeral","No"
"97","Oreotragus oreotragus","diurnal","cathemeral","No"
"101","Ourebia ourebi","cathemeral","diurnal","No"
"109","Pelea capreolus","cathemeral","diurnal","No"
"116","Procapra gutturosa","diurnal","cathemeral","No"
"120","Raphicerus campestris","cathemeral","diurnal","No"
"124","Redunca fulvorufula","cathemeral","nocturnal/crepuscular","No"
"126","Rucervus duvaucelii","diurnal","cathemeral","No"
"130","Rusa timorensis","diurnal","nocturnal","No"
"133","Sus barbatus","diurnal","nocturnal/crepuscular","No"
"138","Sylvicapra grimmia","diurnal","cathemeral","No"
"3","Alcelaphus buselaphus","diurnal","diurnal","Yes"
"4","Alces alces","nocturnal/crepuscular","nocturnal/crepuscular","Yes"
"5","Ammotragus lervia","diurnal/crepuscular","diurnal/crepuscular","Yes"
"6","Antidorcas marsupialis","cathemeral","cathemeral","Yes"
"8","Antilope cervicapra","diurnal/crepuscular","diurnal/crepuscular","Yes"
"9","Axis axis","cathemeral/crepuscular","cathemeral/crepuscular","Yes"
"10","Axis calamianensis","diurnal","diurnal","Yes"
"13","Babyrousa babyrussa","diurnal","diurnal","Yes"
"14","Bison bison","cathemeral","cathemeral","Yes"
"15","Bison bonasus","cathemeral","cathemeral","Yes"
"16","Blastocerus dichotomus","cathemeral/crepuscular","cathemeral/crepuscular","Yes"
"17","Bos javanicus","cathemeral/crepuscular","cathemeral/crepuscular","Yes"
"18","Bos sauveli","cathemeral","cathemeral","Yes"
"19","Boselaphus tragocamelus","nocturnal/crepuscular","nocturnal/crepuscular","Yes"
"21","Bubalus mindorensis","diurnal/crepuscular","diurnal/crepuscular","Yes"
"23","Budorcas taxicolor","diurnal","diurnal","Yes"
"25","Capra falconeri","diurnal","diurnal","Yes"
"27","Capra pyrenaica","cathemeral/crepuscular","cathemeral/crepuscular","Yes"
"33","Catagonus wagneri","diurnal","diurnal","Yes"
"34","Cephalophus callipygus","diurnal/crepuscular","diurnal/crepuscular","Yes"
"35","Cephalophus dorsalis","nocturnal","nocturnal","Yes"
"36","Cephalophus jentinki","nocturnal","nocturnal","Yes"
"37","Cephalophus leucogaster","diurnal","diurnal","Yes"
"38","Cephalophus natalensis","diurnal","diurnal","Yes"
"39","Cephalophus nigrifrons","diurnal/crepuscular","diurnal/crepuscular","Yes"
"40","Cephalophus ogilbyi","diurnal","diurnal","Yes"
"41","Cephalophus rufilatus","diurnal","diurnal","Yes"
"42","Cephalophus silvicultor","nocturnal/crepuscular","nocturnal/crepuscular","Yes"
"43","Cephalophus spadix","nocturnal","nocturnal","Yes"
"45","Cervus elaphus","cathemeral/crepuscular","cathemeral/crepuscular","Yes"
"46","Cervus nippon","cathemeral/crepuscular","cathemeral/crepuscular","Yes"
"47","Connochaetes gnou","diurnal/crepuscular","diurnal/crepuscular","Yes"
"48","Connochaetes taurinus","diurnal","diurnal","Yes"
"51","Damaliscus pygargus","diurnal","diurnal","Yes"
"52","Dorcatragus megalotis","diurnal","diurnal","Yes"
"53","Eudorcas thomsonii","cathemeral","cathemeral","Yes"
"56","Gazella gazella","cathemeral/crepuscular","cathemeral/crepuscular","Yes"
"60","Hippocamelus antisensis","diurnal","diurnal","Yes"
"61","Hippocamelus bisulcus","diurnal","diurnal","Yes"
"62","Hippopotamus amphibius","nocturnal/crepuscular","nocturnal/crepuscular","Yes"
"63","Hippotragus equinus","diurnal","diurnal","Yes"
"65","Hyemoschus aquaticus","nocturnal","nocturnal","Yes"
"66","Hylochoerus meinertzhageni","diurnal/crepuscular","diurnal/crepuscular","Yes"
"69","Kobus vardonii","cathemeral/crepuscular","cathemeral/crepuscular","Yes"
"70","Litocranius walleri","diurnal","diurnal","Yes"
"71","Madoqua guentheri","diurnal","diurnal","Yes"
"72","Madoqua kirkii","diurnal/crepuscular","diurnal/crepuscular","Yes"
"74","Madoqua saltiana","diurnal/crepuscular","diurnal/crepuscular","Yes"
"75","Mazama americana","nocturnal/crepuscular","nocturnal/crepuscular","Yes"
"76","Mazama gouazoubira","diurnal/crepuscular","diurnal/crepuscular","Yes"
"78","Moschiola meminna","nocturnal","nocturnal","Yes"
"84","Muntiacus muntjak","cathemeral","cathemeral","Yes"
"86","Naemorhedus goral","cathemeral/crepuscular","cathemeral/crepuscular","Yes"
"87","Nanger dama","diurnal","diurnal","Yes"
"89","Nanger soemmerringii","diurnal","diurnal","Yes"
"90","Neotragus batesi","nocturnal/crepuscular","nocturnal/crepuscular","Yes"
"91","Neotragus moschatus","nocturnal/crepuscular","nocturnal/crepuscular","Yes"
"94","Odocoileus virginianus","cathemeral/crepuscular","cathemeral/crepuscular","Yes"
"95","Okapia johnstoni","diurnal","diurnal","Yes"
"96","Oreamnos americanus","diurnal/crepuscular","diurnal/crepuscular","Yes"
"98","Oryx beisa","cathemeral","cathemeral","Yes"
"99","Oryx gazella","cathemeral","cathemeral","Yes"
"100","Oryx leucoryx","cathemeral/crepuscular","cathemeral/crepuscular","Yes"
"102","Ovibos moschatus","cathemeral","cathemeral","Yes"
"104","Ovis canadensis","cathemeral/crepuscular","cathemeral/crepuscular","Yes"
"105","Ovis dalli","diurnal","diurnal","Yes"
"106","Ozotoceros bezoarticus","cathemeral","cathemeral","Yes"
"107","Pantholops hodgsonii","cathemeral/crepuscular","cathemeral/crepuscular","Yes"
"108","Pecari tajacu","diurnal","diurnal","Yes"
"110","Phacochoerus aethiopicus","diurnal","diurnal","Yes"
"111","Phacochoerus africanus","diurnal","diurnal","Yes"
"113","Philantomba monticola","diurnal","diurnal","Yes"
"114","Potamochoerus larvatus","nocturnal","nocturnal","Yes"
"115","Potamochoerus porcus","nocturnal/crepuscular","nocturnal/crepuscular","Yes"
"117","Pseudois nayaur","diurnal","diurnal","Yes"
"118","Pudu puda","nocturnal","nocturnal","Yes"
"119","Rangifer tarandus","cathemeral","cathemeral","Yes"
"121","Raphicerus melanotis","nocturnal","nocturnal","Yes"
"122","Raphicerus sharpei","nocturnal","nocturnal","Yes"
"123","Redunca arundinum","cathemeral","cathemeral","Yes"
"125","Redunca redunca","cathemeral","cathemeral","Yes"
"127","Rucervus eldii","cathemeral/crepuscular","cathemeral/crepuscular","Yes"
"128","Rupicapra pyrenaica","diurnal","diurnal","Yes"
"129","Rupicapra rupicapra","diurnal","diurnal","Yes"
