"","search_string","unique_name","approximate_match","ott_id","is_synonym","flags","number_matches","tips","genus","family","order","diel","diel2","diel_confidence","genome","NEW"
"1","abalistes stellaris","Abalistes stellaris",FALSE,85767,FALSE,"",1,"Abalistes_stellaris","Abalistes","Balistidae","Tetraodontiformes","diurnal","diurnal",2,"",""
"2","abbottina rivularis","Abbottina rivularis",FALSE,924237,FALSE,"",1,"Abbottina_rivularis","Abbottina","Gobionidae","Cypriniformes","diurnal","diurnal",1,"","NEW_SPECIES"
"3","ablennes hians","Ablennes hians",FALSE,42223,FALSE,"",1,"Ablennes_hians","Ablennes","Belonidae","Beloniformes","unclear","unknown",1,"",""
"4","abramis ballerus","Ballerus ballerus",FALSE,109791,TRUE,"",1,"Ballerus_ballerus","Ballerus","Leuciscidae","Cypriniformes","crepuscular","crepuscular",3,"","NEW_SPECIES"
"5","abramis brama","Abramis brama",FALSE,103921,FALSE,"",1,"Abramis_brama","Abramis","Leuciscidae","Cypriniformes","crepuscular/nocturnal","crepuscular",4,"",""
"6","abramites eques","Abramites eques",FALSE,3625692,FALSE,"",1,"Abramites_eques","Abramites","Anostomidae","Characiformes","nocturnal","nocturnal",2,"",""
"7","abudefduf abdominalis","Abudefduf abdominalis",FALSE,809329,FALSE,"incertae_sedis_inherited",1,"Abudefduf_abdominalis","Abudefduf","Pomacentridae","Ovalentaria/misc","diurnal","diurnal",4,"","NEW_SPECIES"
"8","abudefduf concolor","Abudefduf concolor",FALSE,659932,FALSE,"incertae_sedis_inherited",1,"Abudefduf_concolor","Abudefduf","Pomacentridae","Ovalentaria/misc","diurnal","diurnal",1,"",""
"9","abudefduf declivifrons","Abudefduf declivifrons",FALSE,659926,FALSE,"incertae_sedis_inherited",1,"Abudefduf_declivifrons","Abudefduf","Pomacentridae","Ovalentaria/misc","diurnal","diurnal",1,"",""
"10","abudefduf hoefleri","Abudefduf hoefleri",FALSE,779763,FALSE,"incertae_sedis_inherited",1,"Abudefduf_hoefleri","Abudefduf","Pomacentridae","Ovalentaria/misc","crepuscular/diurnal","crepuscular",1,"",""
"11","abudefduf saxatilis","Abudefduf saxatilis",FALSE,405751,FALSE,"incertae_sedis_inherited",1,"Abudefduf_saxatilis","Abudefduf","Pomacentridae","Ovalentaria/misc","crepuscular/diurnal","crepuscular",3,"",""
"12","abudefduf septemfasciatus","Abudefduf septemfasciatus",FALSE,129790,FALSE,"incertae_sedis_inherited",1,"Abudefduf_septemfasciatus","Abudefduf","Pomacentridae","Ovalentaria/misc","diurnal","diurnal",1,"","NEW_SPECIES"
"13","abudefduf sexfasciatus","Abudefduf sexfasciatus",FALSE,49236,FALSE,"incertae_sedis_inherited",1,"Abudefduf_sexfasciatus","Abudefduf","Pomacentridae","Ovalentaria/misc","diurnal","diurnal",1,"","NEW_SPECIES"
"14","abudefduf sordidus","Abudefduf sordidus",FALSE,1053071,FALSE,"incertae_sedis_inherited",1,"Abudefduf_sordidus","Abudefduf","Pomacentridae","Ovalentaria/misc","diurnal","diurnal",2,"",""
"15","abudefduf sparoides","Abudefduf sparoides",FALSE,893440,FALSE,"incertae_sedis_inherited",1,"Abudefduf_sparoides","Abudefduf","Pomacentridae","Ovalentaria/misc","diurnal","diurnal",1,"","NEW_SPECIES"
"16","abudefduf taurus","Abudefduf taurus",FALSE,961374,FALSE,"incertae_sedis_inherited",1,"Abudefduf_taurus","Abudefduf","Pomacentridae","Ovalentaria/misc","diurnal","diurnal",3,"",""
"17","abudefduf troschelii","Abudefduf troschelii",FALSE,961357,FALSE,"incertae_sedis_inherited",1,"Abudefduf_troschelii","Abudefduf","Pomacentridae","Ovalentaria/misc","diurnal","diurnal",2,"",""
"18","abudefduf vaigiensis","Abudefduf vaigiensis",FALSE,1053067,FALSE,"incertae_sedis_inherited",1,"Abudefduf_vaigiensis","Abudefduf","Pomacentridae","Ovalentaria/misc","crepuscular/diurnal","crepuscular",1,"",""
"19","abudefduf whitleyi","Abudefduf whitleyi",FALSE,893458,FALSE,"incertae_sedis_inherited",1,"Abudefduf_whitleyi","Abudefduf","Pomacentridae","Ovalentaria/misc","diurnal","diurnal",2,"",""
"20","acanthaluteres spilomelanurus","Acanthaluteres spilomelanurus",FALSE,3631291,FALSE,"",1,"Acanthaluteres_spilomelanurus","Acanthaluteres","Monacanthidae","Tetraodontiformes","diurnal","diurnal",2,"",""
"21","acantharchus pomotis","Acantharchus pomotis",FALSE,476356,FALSE,"",1,"Acantharchus_pomotis","Acantharchus","Centrarchidae","Centrarchiformes","nocturnal","nocturnal",1,"","NEW_SPECIES"
"22","acanthemblemaria aspera","Acanthemblemaria aspera",FALSE,628677,FALSE,"",1,"Acanthemblemaria_aspera","Acanthemblemaria","Chaenopsidae","Blenniiformes","diurnal","diurnal",1,"",""
"23","acanthemblemaria atrata","Acanthemblemaria atrata",FALSE,3639191,FALSE,"",1,"Acanthemblemaria_atrata","Acanthemblemaria","Chaenopsidae","Blenniiformes","diurnal","diurnal",1,"",""
"24","acanthemblemaria balanorum","Acanthemblemaria balanorum",FALSE,516024,FALSE,"",1,"Acanthemblemaria_balanorum","Acanthemblemaria","Chaenopsidae","Blenniiformes","diurnal","diurnal",1,"",""
"25","acanthemblemaria castroi","Acanthemblemaria castroi",FALSE,630202,FALSE,"",1,"Acanthemblemaria_castroi","Acanthemblemaria","Chaenopsidae","Blenniiformes","diurnal","diurnal",1,"",""
"26","acanthemblemaria chaplini","Acanthemblemaria chaplini",FALSE,630211,FALSE,"",1,"Acanthemblemaria_chaplini","Acanthemblemaria","Chaenopsidae","Blenniiformes","diurnal","diurnal",1,"",""
"27","acanthemblemaria crockeri","Acanthemblemaria crockeri",FALSE,628674,FALSE,"",1,"Acanthemblemaria_crockeri","Acanthemblemaria","Chaenopsidae","Blenniiformes","diurnal","diurnal",1,"",""
"28","acanthemblemaria exilispinus","Acanthemblemaria exilispinus",FALSE,630208,FALSE,"",1,"Acanthemblemaria_exilispinus","Acanthemblemaria","Chaenopsidae","Blenniiformes","diurnal","diurnal",1,"",""
