"","X","Species_name","Family","Notes","Diel_Pattern_1","Diel_Pattern_2","Diel_Pattern_3","Diel_Pattern_4","AltDiel_Pattern","Confidence","tips","max_conf"
"1","Aepyceros_melampus","Aepyceros melampus","Bovidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","","4","Aepyceros_melampus","4"
"2","Alcelaphus_buselaphus","Alcelaphus buselaphus","Bovidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","","4","Alcelaphus_buselaphus","4"
"3","Alces_alces","Alces alces","Cervidae","","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","","3","Alces_alces","3"
"4","Ammotragus_lervia","Ammotragus lervia","Bovidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","","3","Ammotragus_lervia","3"
"5","Antidorcas_marsupialis","Antidorcas marsupialis","Bovidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","","4","Antidorcas_marsupialis","4"
"6","Antilocapra_americana","Antilocapra americana","Antilocapridae","","diurnal","diurnal","diurnal","diurnal","*Increase in dusk activity in late summer and mid-winter","4","Antilocapra_americana","4"
"7","Antilope_cervicapra","Antilope cervicapra","Bovidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","","4","Antilope_cervicapra","4"
"8","Axis_axis","Axis axis","Cervidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","Diurnal","3","Axis_axis","3"
"9","Axis_kuhlii","Axis kuhlii","Cervidae","Hyelaphus kuhlii",NA,"cathemeral","crepuscular","cathemeral","","3","Axis_kuhlii","3"
"10","Axis_porcinus","Axis porcinus","Cervidae","Hyelaphus porcinus",NA,"cathemeral/crepuscular","crepuscular","cathemeral","","4","Axis_porcinus","4"
"11","Beatragus_hunteri","Beatragus hunteri","Bovidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","","4","Beatragus_hunteri","4"
"12","Bison_bison","Bison bison","Bovidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","*more crepuscular (less diurnal) in the winter","3","Bison_bison","3"
"13","Bison_bonasus","Bison bonasus","Bovidae","",NA,"cathemeral","crepuscular","cathemeral","","3","Bison_bonasus","3"
"14","Blastocerus_dichotomus","Blastocerus dichotomus","Cervidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","","3","Blastocerus_dichotomus","3"
"15","Bos_gaurus","Bos gaurus","Bovidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","","3","Bos_gaurus","3"
"16","Bos_javanicus","Bos javanicus","Bovidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","","3","Bos_javanicus","3"
"17","Boselaphus_tragocamelus","Boselaphus tragocamelus","Bovidae","","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","","3","Boselaphus_tragocamelus","3"
"18","Bubalis_bubalis","Bubalis bubalis","Bovidae","",NA,"cathemeral","crepuscular","cathemeral","","3","Bubalis_bubalis","3"
"19","Bubalus_mindorensis","Bubalus mindorensis","Bovidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","","5","Bubalus_mindorensis","5"
"20","Budorcas_taxicolor","Budorcas taxicolor","Bovidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","","3","Budorcas_taxicolor","3"
"21","Capra_aegagrus","Capra aegagrus","Bovidae","Capra aegagrus hircus (domesticated version)","diurnal","diurnal","diurnal","diurnal","","3","Capra_aegagrus","3"
"22","Capra_nubiana","Capra nubiana","Bovidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","*more diurnal in winter","3","Capra_nubiana","3"
"23","Capra_sibirica","Capra sibirica","Bovidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","*diurnal in winter, diurnal/crepuscular in summer","3","Capra_sibirica","3"
"24","Capreolus_capreolus","Capreolus capreolus","Cervidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","","4","Capreolus_capreolus","4"
"25","Capreolus_pygargus","Capreolus pygargus","Cervidae","","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","*more nocturnal in summer, more crepuscular in all other seasons","3","Capreolus_pygargus","3"
"26","Capricornis_crispus","Capricornis crispus","Bovidae","",NA,"cathemeral","crepuscular","cathemeral","","3","Capricornis_crispus","3"
"27","Capricornis_rubidus","Capricornis rubidus","Bovidae","",NA,"cathemeral","crepuscular","cathemeral","","3","Capricornis_rubidus","3"
"28","Capricornis_sumatraensis","Capricornis sumatraensis","Bovidae","",NA,"cathemeral","crepuscular","cathemeral","","4","Capricornis_sumatraensis","4"
"29","Capricornis_thar","Capricornis thar","Bovidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","","3","Capricornis_thar","3"
"30","Cephalophus_adersi","Cephalophus adersi","Bovidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","","3","Cephalophus_adersi","3"
"31","Cephalophus_callipygus","Cephalophus callipygus","Bovidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","","3","Cephalophus_callipygus","3"
"32","Cephalophus_dorsalis","Cephalophus dorsalis","Bovidae","","nocturnal","nocturnal","nocturnal","nocturnal","","3","Cephalophus_dorsalis","3"
"33","Cephalophus_harveyi","Cephalophus harveyi","Bovidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","","3","Cephalophus_harveyi","3"
"34","Cephalophus_jentinki","Cephalophus jentinki","Bovidae","","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","","4","Cephalophus_jentinki","4"
"35","Cephalophus_leucogaster","Cephalophus leucogaster","Bovidae","","diurnal","diurnal","diurnal","diurnal","","3","Cephalophus_leucogaster","3"
"36","Cephalophus_natalensis","Cephalophus natalensis","Bovidae","",NA,"cathemeral/crepuscular","crepuscular","cathemeral","","4","Cephalophus_natalensis","4"
"37","Cephalophus_niger","Cephalophus niger","Bovidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","","4","Cephalophus_niger","4"
"38","Cephalophus_nigrifrons","Cephalophus nigrifrons","Bovidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","","3","Cephalophus_nigrifrons","3"
"39","Cephalophus_ogilbyi","Cephalophus ogilbyi","Bovidae","subspecies crusalbum and brookei","diurnal","diurnal","diurnal","diurnal","","3","Cephalophus_ogilbyi","3"
"40","Cephalophus_rufilatus","Cephalophus rufilatus","Bovidae","","diurnal","diurnal/crepuscular","crepuscular","diurnal","","3","Cephalophus_rufilatus","3"
"41","Cephalophus_silvicultor","Cephalophus silvicultor","Bovidae","","nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","","3","Cephalophus_silvicultor","3"
"42","Cephalophus_spadix","Cephalophus spadix","Bovidae","","nocturnal","nocturnal","nocturnal","nocturnal","","3","Cephalophus_spadix","3"
"43","Cephalophus_weynsi","Cephalophus weynsi","Bovidae","","diurnal","diurnal","diurnal","diurnal","","3","Cephalophus_weynsi","3"
