"","Species_name","Family","Order","Diel_Pattern_1","Diel_Pattern_3","Diel_Pattern_2","Diel_Pattern_4","Confidence","tips"
"Babyrousa_babyrussa","Babyrousa babyrussa","Suidae","Suina","diurnal","diurnal","diurnal","diurnal","5","Babyrousa_babyrussa"
"Addax_nasomaculatus","Addax nasomaculatus","Bovidae","Ruminantia",NA,"crepuscular","cathemeral/crepuscular","cathemeral","2","Addax_nasomaculatus"
"Bubalus_mindorensis","Bubalus mindorensis","Bovidae","Ruminantia","diurnal","crepuscular","diurnal/crepuscular","diurnal","5","Bubalus_mindorensis"
"Ammodorcas_clarkei","Ammodorcas clarkei","Bovidae","Ruminantia","diurnal","diurnal","diurnal","diurnal","1","Ammodorcas_clarkei"
"Arabitragus_jayakari","Arabitragus jayakari","Bovidae","Ruminantia",NA,"crepuscular","cathemeral/crepuscular","cathemeral","1","Arabitragus_jayakari"
"Axis_calamianensis","Axis calamianensis","Cervidae","Ruminantia",NA,"crepuscular","cathemeral/crepuscular","cathemeral","1","Axis_calamianensis"
"Okapia_johnstoni","Okapia johnstoni","Giraffidae","Ruminantia","diurnal","diurnal","diurnal","diurnal","5","Okapia_johnstoni"
"Pseudoryx_nghetinhensis","Pseudoryx nghetinhensis","Bovidae","Ruminantia",NA,"crepuscular","cathemeral/crepuscular","cathemeral","5","Pseudoryx_nghetinhensis"
"Babyrousa_togeanensis","Babyrousa togeanensis","Suidae","Suina",NA,"crepuscular","cathemeral/crepuscular","cathemeral","1","Babyrousa_togeanensis"
"Bos_domesticus","Bos domesticus","Bovidae","Ruminantia","unknown","unknown","unknown","unknown","unknown","Bos_domesticus"
"Bos_frontalis","Bos frontalis","Bovidae","Ruminantia","unknown","unknown","unknown","unknown","unknown","Bos_frontalis"
"Bos_grunniens","Bos grunniens","Bovidae","Ruminantia","unknown","unknown","unknown","unknown","unknown","Bos_grunniens"
"Bos_mutus","Bos mutus","Bovidae","Ruminantia","diurnal","diurnal","diurnal","diurnal","1","Bos_mutus"
"Bos_sauveli","Bos sauveli","Bovidae","Ruminantia",NA,"crepuscular","cathemeral","cathemeral","1","Bos_sauveli"
"Bos_taurus","Bos taurus","Bovidae","Ruminantia","unknown","unknown","unknown","unknown","unknown","Bos_taurus"
"Axis_porcinus","Axis porcinus","Cervidae","Ruminantia",NA,"crepuscular","cathemeral/crepuscular","cathemeral","4","Axis_porcinus"
"Bubalus_arnee","Bubalus arnee","Bovidae","Ruminantia",NA,"crepuscular","cathemeral","cathemeral","2","Bubalus_arnee"
"Camelus_ferus","Camelus ferus","Camelidae","Tylopoda",NA,"crepuscular","cathemeral/crepuscular","cathemeral","4","Camelus_ferus"
"Capreolus_capreolus","Capreolus capreolus","Cervidae","Ruminantia",NA,"crepuscular","cathemeral/crepuscular","cathemeral","4","Capreolus_capreolus"
