"Species_name","Order","Suborder","Parvorder","Family","Diel_Pattern","max_crep","max_dinoc","Confidence","tips"
"Addax nasomaculatus","Artiodactyla","Ruminantia","non-cetacean","Bovidae","nocturnal/crepuscular","crepuscular","nocturnal",2,"Addax_nasomaculatus"
"Aepyceros melampus","Artiodactyla","Ruminantia","non-cetacean","Bovidae","diurnal","diurnal","diurnal",4,"Aepyceros_melampus"
"Alcelaphus buselaphus","Artiodactyla","Ruminantia","non-cetacean","Bovidae","diurnal/crepuscular","crepuscular","diurnal",4,"Alcelaphus_buselaphus"
"Alces alces","Artiodactyla","Ruminantia","non-cetacean","Cervidae","nocturnal/crepuscular","crepuscular","nocturnal",3,"Alces_alces"
"Ammodorcas clarkei","Artiodactyla","Ruminantia","non-cetacean","Bovidae","diurnal","diurnal","diurnal",1,"Ammodorcas_clarkei"
"Ammotragus lervia","Artiodactyla","Ruminantia","non-cetacean","Bovidae","diurnal/crepuscular","crepuscular","diurnal",3,"Ammotragus_lervia"
"Antidorcas marsupialis","Artiodactyla","Ruminantia","non-cetacean","Bovidae","cathemeral/crepuscular","crepuscular","crepuscular",4,"Antidorcas_marsupialis"
"Antilocapra americana","Artiodactyla","Ruminantia","non-cetacean","Antilocapridae","diurnal","diurnal","diurnal",4,"Antilocapra_americana"
"Antilope cervicapra","Artiodactyla","Ruminantia","non-cetacean","Bovidae","cathemeral/crepuscular","crepuscular","crepuscular",4,"Antilope_cervicapra"
"Arabitragus jayakari","Artiodactyla","Ruminantia","non-cetacean","Bovidae","cathemeral/crepuscular","crepuscular","crepuscular",1,"Arabitragus_jayakari"
"Axis axis","Artiodactyla","Ruminantia","non-cetacean","Cervidae","cathemeral/crepuscular","crepuscular","crepuscular",3,"Axis_axis"
"Axis calamianensis","Artiodactyla","Ruminantia","non-cetacean","Cervidae","cathemeral/crepuscular","crepuscular","crepuscular",1,"Axis_calamianensis"
"Axis kuhlii","Artiodactyla","Ruminantia","non-cetacean","Cervidae","cathemeral","cathemeral","cathemeral",3,"Axis_kuhlii"
"Axis porcinus","Artiodactyla","Ruminantia","non-cetacean","Cervidae","cathemeral/crepuscular","crepuscular","crepuscular",4,"Axis_porcinus"
"Babyrousa babyrussa","Artiodactyla","Suina","non-cetacean","Suidae","diurnal","diurnal","diurnal",5,"Babyrousa_babyrussa"
"Babyrousa celebensis","Artiodactyla","Suina","non-cetacean","Suidae","diurnal","diurnal","diurnal",5,"Babyrousa_celebensis"
"Babyrousa togeanensis","Artiodactyla","Suina","non-cetacean","Suidae","diurnal/crepuscular","crepuscular","diurnal",3,"Babyrousa_togeanensis"
"Beatragus hunteri","Artiodactyla","Ruminantia","non-cetacean","Bovidae","cathemeral/crepuscular","crepuscular","crepuscular",4,"Beatragus_hunteri"
"Bison bison","Artiodactyla","Ruminantia","non-cetacean","Bovidae","diurnal/crepuscular","crepuscular","diurnal",3,"Bison_bison"
"Bison bonasus","Artiodactyla","Ruminantia","non-cetacean","Bovidae","cathemeral","cathemeral","cathemeral",4,"Bison_bonasus"
"Blastocerus dichotomus","Artiodactyla","Ruminantia","non-cetacean","Cervidae","cathemeral/crepuscular","crepuscular","crepuscular",3,"Blastocerus_dichotomus"
"Bos gaurus","Artiodactyla","Ruminantia","non-cetacean","Bovidae","cathemeral/crepuscular","crepuscular","crepuscular",3,"Bos_gaurus"
"Bos javanicus","Artiodactyla","Ruminantia","non-cetacean","Bovidae","cathemeral","cathemeral","cathemeral",3,"Bos_javanicus"
"Bos mutus","Artiodactyla","Ruminantia","non-cetacean","Bovidae","diurnal","diurnal","diurnal",1,"Bos_mutus"
"Bos sauveli","Artiodactyla","Ruminantia","non-cetacean","Bovidae","cathemeral","cathemeral","cathemeral",1,"Bos_sauveli"
"Boselaphus tragocamelus","Artiodactyla","Ruminantia","non-cetacean","Bovidae","nocturnal/crepuscular","crepuscular","nocturnal",3,"Boselaphus_tragocamelus"
"Bubalis bubalis","Artiodactyla","Ruminantia","non-cetacean","Bovidae","cathemeral","cathemeral","cathemeral",3,"Bubalis_bubalis"
"Bubalus arnee","Artiodactyla","Ruminantia","non-cetacean","Bovidae","diurnal","diurnal","diurnal",2,"Bubalus_arnee"
"Bubalus depressicornis","Artiodactyla","Ruminantia","non-cetacean","Bovidae","nocturnal/crepuscular","crepuscular","nocturnal",1,"Bubalus_depressicornis"
"Bubalus mindorensis","Artiodactyla","Ruminantia","non-cetacean","Bovidae","cathemeral","cathemeral","cathemeral",5,"Bubalus_mindorensis"
"Bubalus quarlesi","Artiodactyla","Ruminantia","non-cetacean","Bovidae","cathemeral/crepuscular","crepuscular","crepuscular",1,"Bubalus_quarlesi"
"Budorcas taxicolor","Artiodactyla","Ruminantia","non-cetacean","Bovidae","diurnal/crepuscular","crepuscular","diurnal",3,"Budorcas_taxicolor"
"Camelus bactrianus","Artiodactyla","Tylopoda","non-cetacean","Camelidae","diurnal","diurnal","diurnal",3,"Camelus_bactrianus"
"Camelus dromedarius","Artiodactyla","Tylopoda","non-cetacean","Camelidae","diurnal","diurnal","diurnal",4,"Camelus_dromedarius"
"Camelus ferus","Artiodactyla","Tylopoda","non-cetacean","Camelidae","cathemeral/crepuscular","crepuscular","crepuscular",4,"Camelus_ferus"
"Capra aegagrus","Artiodactyla","Ruminantia","non-cetacean","Bovidae","diurnal","diurnal","diurnal",3,"Capra_aegagrus"
"Capra caucasica","Artiodactyla","Ruminantia","non-cetacean","Bovidae","cathemeral","cathemeral","cathemeral",1,"Capra_caucasica"
"Capra cylindricornis","Artiodactyla","Ruminantia","non-cetacean","Bovidae","cathemeral","cathemeral","cathemeral",1,"Capra_cylindricornis"
"Capra falconeri","Artiodactyla","Ruminantia","non-cetacean","Bovidae","diurnal/crepuscular","crepuscular","diurnal",2,"Capra_falconeri"
"Capra ibex","Artiodactyla","Ruminantia","non-cetacean","Bovidae","cathemeral/crepuscular","crepuscular","crepuscular",2,"Capra_ibex"
"Capra nubiana","Artiodactyla","Ruminantia","non-cetacean","Bovidae","cathemeral/crepuscular","crepuscular","crepuscular",3,"Capra_nubiana"
"Capra pyrenaica","Artiodactyla","Ruminantia","non-cetacean","Bovidae","cathemeral/crepuscular","crepuscular","crepuscular",2,"Capra_pyrenaica"
"Capra sibirica","Artiodactyla","Ruminantia","non-cetacean","Bovidae","diurnal/crepuscular","crepuscular","diurnal",3,"Capra_sibirica"
"Capra walie","Artiodactyla","Ruminantia","non-cetacean","Bovidae","cathemeral/crepuscular","crepuscular","crepuscular",2,"Capra_walie"
