"Species_name","Order","Suborder","Parvorder","Family","Diel_Pattern","max_crep","max_dinoc","Confidence","tips"
"Abrocoma bennettii","Rodentia","idk","non-cetacean","Abrocomidae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Abrocoma_bennettii"
"Abrocoma bennettii","Rodentia","idk","non-cetacean","Abrocomidae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Abrocoma_bennettii"
"Abrothrix andinus","Rodentia","idk","non-cetacean","Cricetidae","diurnal","diurnal","diurnal","Bennie_2014_dataset","Abrothrix_andinus"
"Abrothrix jelskii","Rodentia","idk","non-cetacean","Cricetidae","cathemeral","cathemeral","cathemeral","Bennie_2014_dataset","Abrothrix_jelskii"
"Abrothrix jelskii","Rodentia","idk","non-cetacean","Cricetidae","cathemeral","cathemeral","cathemeral","Bennie_2014_dataset","Abrothrix_jelskii"
"Abrothrix longipilis","Rodentia","idk","non-cetacean","Cricetidae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Abrothrix_longipilis"
"Abrothrix longipilis","Rodentia","idk","non-cetacean","Cricetidae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Abrothrix_longipilis"
"Abrothrix longipilis","Rodentia","idk","non-cetacean","Cricetidae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Abrothrix_longipilis"
"Abrothrix olivaceus","Rodentia","idk","non-cetacean","Cricetidae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Abrothrix_olivaceus"
"Abrothrix olivaceus","Rodentia","idk","non-cetacean","Cricetidae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Abrothrix_olivaceus"
"Abrothrix olivaceus","Rodentia","idk","non-cetacean","Cricetidae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Abrothrix_olivaceus"
"Abrothrix sanborni","Rodentia","idk","non-cetacean","Cricetidae","cathemeral","cathemeral","cathemeral","Bennie_2014_dataset","Abrothrix_sanborni"
"Abrothrix sanborni","Rodentia","idk","non-cetacean","Cricetidae","cathemeral","cathemeral","cathemeral","Bennie_2014_dataset","Abrothrix_sanborni"
"Acinonyx jubatus","Carnivora","idk","non-cetacean","Felidae","diurnal","diurnal","diurnal","Bennie_2014_dataset","Acinonyx_jubatus"
"Acomys cahirinus","Rodentia","idk","non-cetacean","Muridae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Acomys_cahirinus"
"Acomys russatus","Rodentia","idk","non-cetacean","Muridae","diurnal","diurnal","diurnal","Bennie_2014_dataset","Acomys_russatus"
"Acomys russatus","Rodentia","idk","non-cetacean","Muridae","diurnal","diurnal","diurnal","Bennie_2014_dataset","Acomys_russatus"
"Acomys spinosissimus","Rodentia","idk","non-cetacean","Muridae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Acomys_spinosissimus"
"Acomys subspinosus","Rodentia","idk","non-cetacean","Muridae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Acomys_subspinosus"
"Aconaemys fuscus","Rodentia","idk","non-cetacean","Octodontidae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Aconaemys_fuscus"
"Aconaemys fuscus","Rodentia","idk","non-cetacean","Octodontidae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Aconaemys_fuscus"
"Aconaemys sagei","Rodentia","idk","non-cetacean","Octodontidae","diurnal","diurnal","diurnal","Bennie_2014_dataset","Aconaemys_sagei"
"Acrobates pygmaeus","Diprotodontia","idk","non-cetacean","Acrobatidae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Acrobates_pygmaeus"
"Addax nasomaculatus","Artiodactyla","Ruminantia","non-cetacean","Bovidae","crepuscular","crepuscular","crepuscular","Bennie_2014_dataset","Addax_nasomaculatus"
"Aepyceros melampus","Artiodactyla","Ruminantia","non-cetacean","Bovidae","diurnal","diurnal","diurnal","Bennie_2014_dataset","Aepyceros_melampus"
"Aepyprymnus rufescens","Diprotodontia","idk","non-cetacean","Potoroidae","nocturnal","nocturnal","nocturnal","Bennie_2014_dataset","Aepyprymnus_rufescens"
