Species,State,Activity,NocGeiger,ActNOC,DiuGeiger,ActDIU,Lit,Family,Order,Class
Allophryne_ruthveni,NOC,1,1,1,1,1,Castroviejo-Fisher 2009,Allophrynidae,Anura,Amphibia
Eupsophus_calcaratus,NOC,1,1,1,1,1,Marquez et al 2005,Alsodidae,Anura,Amphibia
Eupsophus_emiliopugini,NOC,1,1,1,1,1,Penna et al 2005,Alsodidae,Anura,Amphibia
Limnomedusa_macroglossa,NOC,1,1,1,1,1,Kaefer et al 2009,Alsodidae,Anura,Amphibia
Alytes_cisternasii,NOC,1,1,1,1,1,Marquez et al 2010,Alytidae,Anura,Amphibia
Alytes_dickhilleni,NOC,1,1,1,1,1,Egea-Serrano et al 2006,Alytidae,Anura,Amphibia
Alytes_obstetricans,NOC,1,1,1,1,1,Egea-Serrano et al 2006,Alytidae,Anura,Amphibia
Discoglossus_pictus,NOC,1,1,1,1,1,Lantz 1947,Alytidae,Anura,Amphibia
Arthroleptis_stenodactylus,NOC,1,1,1,1,1,Behangana et al 2009,Arthroleptidae,Anura,Amphibia
Arthroleptis_wahlbergii,ARR,3,1,1,2,0,Channing 2001,Arthroleptidae,Anura,Amphibia
Arthroleptis_xenodactyloides,NOC,1,1,1,1,1,Mercurio 2009,Arthroleptidae,Anura,Amphibia
Cardioglossa_leucomystax,DIU,2,2,0,2,0,Rodel and Ernst 2004,Arthroleptidae,Anura,Amphibia
Leptopelis_argenteus,NOC,1,1,1,1,1,Spawls et al 2006,Arthroleptidae,Anura,Amphibia
Leptopelis_natalensis,NOC,1,1,1,1,1,Channing 2001,Arthroleptidae,Anura,Amphibia
Ascaphus_montanus,NOC,1,1,1,1,1,Conlon et al 2004,Ascaphidae,Anura,Amphibia
Ascaphus_truei,NOC,1,1,1,1,1,Stebbins 2003,Ascaphidae,Anura,Amphibia
Batrachyla_leptopus,NOC,1,1,1,1,1,Penna 1997,Batrachylidae,Anura,Amphibia
Batrachyla_taeniata,NOC,1,1,1,1,1,Penna 1997,Batrachylidae,Anura,Amphibia
Bombina_bombina,DIU,2,2,0,2,0,Harkewicz 2004,Bombinatoridae,Anura,Amphibia
Bombina_orientalis,NOC,1,1,1,1,1,Zeyl and Laberge 2011,Bombinatoridae,Anura,Amphibia
Bombina_variegata,DIU,2,2,0,2,0,Harkewicz 2004,Bombinatoridae,Anura,Amphibia
Brachycephalus_ephippium,DIU,2,2,0,2,0,Pires Jr et al 2002,Brachycephalidae,Anura,Amphibia
Ischnocnema_guentheri,NOC,1,1,1,1,1,Giaretta and Facure 2008,Brachycephalidae,Anura,Amphibia
Ischnocnema_parva,NOC,1,1,1,1,1,Giaretta and Facure 2008,Brachycephalidae,Anura,Amphibia
Breviceps_mossambicus,NOC,1,1,1,1,1,Gardner and Fitzherbert 2007,Breviciptidae,Anura,Amphibia
Ansonia_hanitschi,NOC,1,1,1,1,1,Das 2006,Bufonidae,Anura,Amphibia
Ansonia_leptopus,NOC,1,1,1,1,1,Das 2006,Bufonidae,Anura,Amphibia
Ansonia_longidigita,ARR,3,1,1,2,0,Das 2006,Bufonidae,Anura,Amphibia
Ansonia_spinulifer,NOC,1,1,1,1,1,Das 2006,Bufonidae,Anura,Amphibia
Atelopus_spumarius,DIU,2,2,0,2,0,Rodriguez and Duellman 1994,Bufonidae,Anura,Amphibia
Bufo_alvarius,NOC,1,1,1,1,1,Stebbins 2003,Bufonidae,Anura,Amphibia
Bufo_americanus,CRE,4,1,1,2,0,Harding 2000,Bufonidae,Anura,Amphibia
Bufo_arenarum,NOC,1,1,1,1,1,Sanabria et al 2012,Bufonidae,Anura,Amphibia
Bufo_boreas,ARR,3,1,1,2,0,Stebbins 2003,Bufonidae,Anura,Amphibia
Bufo_bufo,NOC,1,1,1,1,1,Sinsch 1988,Bufonidae,Anura,Amphibia
Bufo_calamita,NOC,1,1,1,1,1,Sinsch 1988,Bufonidae,Anura,Amphibia
Bufo_cognatus,NOC,1,1,1,1,1,Stebbins 2003,Bufonidae,Anura,Amphibia
Bufo_dombensis,NOC,1,1,1,1,1,Channing 2001,Bufonidae,Anura,Amphibia
Bufo_gargarizans,NOC,1,1,1,1,1,Yu et al 2009,Bufonidae,Anura,Amphibia
Bufo_garmani,NOC,1,1,1,1,1,Gardner et al 2007,Bufonidae,Anura,Amphibia
Bufo_granulosus,DIU,2,2,0,2,0,Navas et al 2007,Bufonidae,Anura,Amphibia
Bufo_gutturalis,DIU,2,2,0,2,0,Behangana et al 2009,Bufonidae,Anura,Amphibia
Bufo_japonicus,NOC,1,1,1,1,1,Ishii et al 1989,Bufonidae,Anura,Amphibia
Bufo_maculatus,ARR,3,1,1,2,0,Behangana et al 2009,Bufonidae,Anura,Amphibia
Bufo_marinus,NOC,1,1,1,1,1,Schluter et al 2004,Bufonidae,Anura,Amphibia
Bufo_melanostictus,NOC,1,1,1,1,1,Dasgupta 1962,Bufonidae,Anura,Amphibia
Bufo_microscaphus,NOC,1,1,1,1,1,Degenhardt et al 1996,Bufonidae,Anura,Amphibia
Bufo_regularis,ARR,3,1,1,2,0,Behangana et al 2009,Bufonidae,Anura,Amphibia
Bufo_stomaticus,NOC,1,1,1,1,1,Khan 2002,Bufonidae,Anura,Amphibia
Bufo_taitanus,NOC,1,1,1,1,1,Gardner et al 2007,Bufonidae,Anura,Amphibia
Bufo_viridis,NOC,1,1,1,1,1,Hoffman and Katz 1989,Bufonidae,Anura,Amphibia
Dendrophryniscus_minutus,ARR,3,1,1,2,0,Schluter et al 2004,Bufonidae,Anura,Amphibia
Mertensophryne_micranotis,DIU,2,2,0,2,0,Spawls et al 2006,Bufonidae,Anura,Amphibia
Nectophrynoides_tornieri,NOC,1,1,1,1,1,Starnberger et al 2011,Bufonidae,Anura,Amphibia
Osornophryne_guacamayo,NOC,1,1,1,1,1,Gluesenkamp 2001,Bufonidae,Anura,Amphibia
Schismaderma_carens,DIU,2,2,0,2,0,Channing 2001,Bufonidae,Anura,Amphibia
Telmatobufo_venustus,NOC,1,1,1,1,1,Fenolio et al 2011,Calyptocephalellidae,Anura,Amphibia
Centrolene_geckoideum,NOC,1,1,1,1,1,Guayasamin et al 2006,Centrolenidae,Anura,Amphibia
Cochranella_euknemos,NOC,1,1,1,1,1,Guayasamin et al 2009,Centrolenidae,Anura,Amphibia
Cochranella_granulosa,NOC,1,1,1,1,1,Savage 2002,Centrolenidae,Anura,Amphibia
Espadarana_prosoblepon,NOC,1,1,1,1,1,Guayasamin et al 2006,Centrolenidae,Anura,Amphibia
Hyalinobatrachium_chirripoi,NOC,1,1,1,1,1,Guayasamin et al 2006,Centrolenidae,Anura,Amphibia
Hyalinobatrachium_colymbiphyllum,NOC,1,1,1,1,1,Savage 2002,Centrolenidae,Anura,Amphibia
Hyalinobatrachium_fleischmanni,NOC,1,1,1,1,1,Lee 2000,Centrolenidae,Anura,Amphibia
Hyalinobatrachium_valerioi,NOC,1,1,1,1,1,Savage 2002,Centrolenidae,Anura,Amphibia
Teratohyla_midas,NOC,1,1,1,1,1,Schluter et al 2004,Centrolenidae,Anura,Amphibia
Teratohyla_spinosa,NOC,1,1,1,1,1,Guayasamin et al 2006,Centrolenidae,Anura,Amphibia
Ceratophrys_cornuta,NOC,1,1,1,1,1,Duellman and Lizana 1994,Ceratophryidae,Anura,Amphibia
Ceratophrys_ornata,NOC,1,1,1,1,1,Toledo and Jared 1993,Ceratophryidae,Anura,Amphibia
Conraua_goliath,NOC,1,1,1,1,1,Sabater-Pi 1985,Conrauidae,Anura,Amphibia
Craugastor_augusti,NOC,1,1,1,1,1,Golberg and Schwalbe 2004,Craugastoridae,Anura,Amphibia
Craugastor_pygmaeus,NOC,1,1,1,1,1,Santos-Barrera and Urbina-Cardona 2011,Craugastoridae,Anura,Amphibia
Haddadus_binotatus,NOC,1,1,1,1,1,Almeida-Gomes et al 2010,Craugastoridae,Anura,Amphibia
Oreobates_quixensis,NOC,1,1,1,1,1,Schluter et al 2004,Craugastoridae,Anura,Amphibia
Phrynopus_bracki,NOC,1,1,1,1,1,Hedges 1990,Craugastoridae,Anura,Amphibia
Pristimantis_acuminatus,ARR,3,1,1,2,0,Schluter et al 2004,Craugastoridae,Anura,Amphibia
Pristimantis_altamazonicus,ARR,3,1,1,2,0,Schluter et al 2004,Craugastoridae,Anura,Amphibia
Pristimantis_conspicillatus,NOC,1,1,1,1,1,Arroyo et al 2008,Craugastoridae,Anura,Amphibia
Pristimantis_diadematus,NOC,1,1,1,1,1,von May et al 2008,Craugastoridae,Anura,Amphibia
Pristimantis_ockendeni,ARR,3,1,1,2,0,Schluter et al 2004,Craugastoridae,Anura,Amphibia
Pristimantis_peruvianus,NOC,1,1,1,1,1,Schluter et al 2004,Craugastoridae,Anura,Amphibia
Pristimantis_unistrigatus,NOC,1,1,1,1,1,Arroyo et al 2008,Craugastoridae,Anura,Amphibia
