Species,state
Allophryne_ruthveni,1
Eupsophus_calcaratus,1
Eupsophus_emiliopugini,1
Limnomedusa_macroglossa,1
Alytes_cisternasii,1
Alytes_dickhilleni,1
Alytes_obstetricans,1
Discoglossus_pictus,1
Arthroleptis_stenodactylus,1
Arthroleptis_wahlbergii,1
Arthroleptis_xenodactyloides,1
Cardioglossa_leucomystax,0
Leptopelis_argenteus,1
Leptopelis_natalensis,1
Ascaphus_montanus,1
Ascaphus_truei,1
Batrachyla_leptopus,1
Batrachyla_taeniata,1
Bombina_bombina,0
Bombina_orientalis,1
Bombina_variegata,0
Brachycephalus_ephippium,0
Ischnocnema_guentheri,1
Ischnocnema_parva,1
Breviceps_mossambicus,1
Ansonia_hanitschi,1
Ansonia_leptopus,1
Ansonia_longidigita,1
Ansonia_spinulifer,1
Atelopus_spumarius,0
Bufo_alvarius,1
Bufo_americanus,1
Bufo_arenarum,1
Bufo_boreas,1
Bufo_bufo,1
Bufo_calamita,1
Bufo_cognatus,1
Bufo_dombensis,1
Bufo_gargarizans,1
Bufo_garmani,1
Bufo_granulosus,0
Bufo_gutturalis,0
Bufo_japonicus,1
Bufo_maculatus,1
Bufo_marinus,1
Bufo_melanostictus,1
Bufo_microscaphus,1
Bufo_regularis,1
Bufo_stomaticus,1
Bufo_taitanus,1
Bufo_viridis,1
Dendrophryniscus_minutus,1
Mertensophryne_micranotis,0
Nectophrynoides_tornieri,1
Osornophryne_guacamayo,1
Schismaderma_carens,0
Telmatobufo_venustus,1
Centrolene_geckoideum,1
Cochranella_euknemos,1
Cochranella_granulosa,1
Espadarana_prosoblepon,1
Hyalinobatrachium_chirripoi,1
Hyalinobatrachium_colymbiphyllum,1
Hyalinobatrachium_fleischmanni,1
Hyalinobatrachium_valerioi,1
Teratohyla_midas,1
Teratohyla_spinosa,1
Ceratophrys_cornuta,1
Ceratophrys_ornata,1
Conraua_goliath,1
Craugastor_augusti,1
Craugastor_pygmaeus,1
Haddadus_binotatus,1
Oreobates_quixensis,1
Phrynopus_bracki,1
Pristimantis_acuminatus,1
Pristimantis_altamazonicus,1
Pristimantis_conspicillatus,1
Pristimantis_diadematus,1
Pristimantis_ockendeni,1
Pristimantis_peruvianus,1
Pristimantis_unistrigatus,1
Cycloramphus_acangatan,1
Cycloramphus_boraceiensis,1
Thoropa_miliaris,1
Allobates_femoralis,0
Allobates_talamancae,0
Ameerega_bilinguis,0
Ameerega_hahneli,0
Ameerega_picta,0
Ameerega_trivittata,0
Anomaloglossus_stepheni,0
Dendrobates_auratus,0
Dendrobates_castaneoticus,0
Dendrobates_histrionicus,0
Dendrobates_lehmanni,0
Dendrobates_leucomelas,0
Dendrobates_pumilio,0
Dendrobates_reticulatus,0
Dendrobates_steyermarki,0
Dendrobates_ventrimaculatus,0
Epipedobates_machalilla,0
Phyllobates_terribilis,0
Phyllobates_vittatus,0
Silverstoneia_flotator,0
Euphlyctis_cyanophlyctis,1
Fejervarya_cancrivora,1
Hoplobatrachus_occipitalis,1
Hoplobatrachus_tigerinus,1
Ingerana_baluensis,1
Limnonectes_blythii,1
Limnonectes_finchi,1
Limnonectes_kuhlii,1
Limnonectes_leporinus,1
Nannophrys_ceylonensis,1
Occidozyga_laevis,1
Sphaerotheca_breviceps,1
Adelophryne_gutturosa,0
Eleutherodactylus_abbotti,0
Eleutherodactylus_albipes,1
Eleutherodactylus_alcoae,1
Eleutherodactylus_auriculatus,1
Eleutherodactylus_cooki,1
Eleutherodactylus_coqui,1
Eleutherodactylus_cundalli,1
Eleutherodactylus_dimidiatus,1
Eleutherodactylus_fowleri,1
Eleutherodactylus_gossei,1
Eleutherodactylus_johnstonei,1
Eleutherodactylus_lentus,1
Eleutherodactylus_martinicensis,1
Eleutherodactylus_nubicola,1
Eleutherodactylus_planirostris,1
Eleutherodactylus_unicolor,1
Eleutherodactylus_varleyi,1
Eleutherodactylus_zeus,1
Eleutherodactylus_zugi,1
Phyzelaphryne_miriamae,0
Heleophryne_purcelli,1
Flectonotus_pygmaeus,1
Gastrotheca_cornuta,1
Gastrotheca_marsupiata,1
Hemiphractus_proboscideus,1
Hemiphractus_scutatus,1
Hemisus_marmoratus,1
Acris_crepitans,1
Acris_gryllus,1
Agalychnis_annae,1
Agalychnis_callidryas,1
Agalychnis_moreletii,1
Agalychnis_saltator,1
Agalychnis_spurrelli,1
Anotheca_spinosa,1
Aplastodiscus_arildae,1
Aplastodiscus_leucopygius,1
Aplastodiscus_perviridis,1
Bokermannohyla_circumdata,1
Charadrahyla_taeniopus,1
Corythomantis_greeningi,1
Cruziohyla_calcarifer,1
Cyclorana_alboguttata,1
Cyclorana_australis,1
Cyclorana_longipes,1
Cyclorana_novaehollandiae,1
Dendropsophus_anceps,1
Dendropsophus_brevifrons,1
Dendropsophus_ebraccatus,1
Dendropsophus_koechlini,1
Dendropsophus_leali,1
Dendropsophus_leucophyllatus,1
Dendropsophus_marmoratus,1
Dendropsophus_parviceps,1
Dendropsophus_rhodopeplus,1
Dendropsophus_sarayacuensis,1
Dendropsophus_triangulum,1
Duellmanohyla_rufioculis,1
Duellmanohyla_soralia,1
Ecnomiohyla_miliaria,1
Hyla_andersonii,1
Hyla_arborea,1
Hyla_arenicolor,1
Hyla_avivoca,1
Hyla_chinensis,1
Hyla_chrysoscelis,1
Hyla_cinerea,1
Hyla_femoralis,1
Hyla_gratiosa,1
Hyla_japonica,1
Hyla_meridionalis,1
Hyla_squirella,1
Hyla_versicolor,1
Hylomantis_lemur,1
Hypsiboas_albomarginatus,1
Hypsiboas_albopunctatus,1
Hypsiboas_boans,1
Hypsiboas_cinerascens,1
Hypsiboas_fasciatus,1
Hypsiboas_geographicus,1
Hypsiboas_lanciformis,1
Hypsiboas_rosenbergi,1
Isthmohyla_pseudopuma,1
Litoria_caerulea,0
Litoria_genimaculata,1
Litoria_inermis,1
Litoria_nasuta,1
Litoria_pallida,1
Litoria_pearsoniana,1
Litoria_rothii,1
Litoria_rubella,1
Litoria_tornieri,1
Nyctimystes_dayi,1
Osteocephalus_buckleyi,1
Osteocephalus_leprieurii,1
Osteocephalus_oophagus,1
Osteocephalus_taurinus,1
Osteopilus_septentrionalis,1
Pachymedusa_dacnicolor,1
Phyllodytes_luteolus,1
Phyllomedusa_atelopoides,1
Phyllomedusa_bicolor,1
Phyllomedusa_hypochondrialis,1
Phyllomedusa_palliata,1
Phyllomedusa_tarsius,1
Phyllomedusa_tomopterna,1
Phyllomedusa_vaillantii,1
Plectrohyla_bistincta,1
Pseudacris_crucifer,1
Pseudacris_nigrita,1
Pseudacris_regilla,1
Pseudacris_streckeri,1
Pseudis_minuta,1
Pseudis_paradoxa,1
Ptychohyla_hypomykter,1
Scarthyla_goinorum,1
Scinax_acuminatus,1
Scinax_boulengeri,1
Scinax_catharinae,1
Scinax_cruentommus,1
Scinax_elaeochroa,1
Scinax_fuscovarius,1
Scinax_garbei,1
Scinax_nasicus,1
Scinax_ruber,1
Scinax_squalirostris,1
Smilisca_baudinii,1
Smilisca_cyanosticta,1
Smilisca_phaeota,1
Smilisca_puma,1
Sphaenorhynchus_dorisae,1
Sphaenorhynchus_lacteus,1
Trachycephalus_coriaceus,1
Trachycephalus_resinifictrix,1
Trachycephalus_venulosus,1
Triprion_petasatus,1
Crossodactylus_schmidti,0
Hylodes_dactylocinus,0
Megaelosia_goeldii,0
Acanthixalus_sonjae,1
Acanthixalus_spinosus,1
Afrixalus_dorsalis,1
Afrixalus_fornasini,1
Afrixalus_stuhlmanni,1
Cryptothylax_greshoffii,1
Heterixalus_betsileo,0
Heterixalus_luteostriatus,1
Hyperolius_acuticeps,1
Hyperolius_argus,1
Hyperolius_castaneus,1
Hyperolius_cinnamomeoventris,1
Hyperolius_concolor,1
Hyperolius_frontalis,1
Hyperolius_kivuensis,1
Hyperolius_lateralis,1
Hyperolius_nasutus,1
Hyperolius_puncticulatus,1
Hyperolius_pusillus,1
Hyperolius_semidiscus,1
Hyperolius_tuberilinguis,1
Kassina_senegalensis,1
Tachycnemis_seychellensis,1
Leiopelma_archeyi,1
Leiopelma_hochstetteri,1
Leiopelma_pakeka,1
Adenomera_andreae,1
Adenomera_hylaedactyla,1
Edalorhina_perezi,1
Engystomops_petersi,1
Engystomops_pustulosus,1
Leptodactylus_chaquensis,1
Leptodactylus_discodactylus,1
Leptodactylus_fallax,1
Leptodactylus_labyrinthicus,1
Leptodactylus_melanonotus,1
Leptodactylus_mystaceus,1
Leptodactylus_pentadactylus,1
Leptodactylus_rhodomystax,1
Leptodactylus_wagneri,1
Lithodytes_lineatus,1
Paratelmatobius_cardosoi,1
Paratelmatobius_poecilogaster,1
Physalaemus_cuvieri,1
Physalaemus_ephippifer,1
Pleurodema_brachyops,1
Aglyptodactylus_laticeps,1
Blommersia_wittei,1
Boophis_albilabris,1
Boophis_luteus,1
Boophis_madagascariensis,0
Boophis_occidentalis,1
Boophis_tephraeomystax,1
Boophis_xerophilus,1
Gephyromantis_decaryi,0
Gephyromantis_luteus,1
Gephyromantis_pseudoasper,1
Gephyromantis_webbi,0
Guibemantis_depressiceps,0
Guibemantis_liber,1
Guibemantis_tornieri,1
Laliostoma_labrosum,1
Mantella_aurantiaca,0
Mantella_baroni,0
Mantella_laevigata,0
Mantidactylus_ulcerosus,1
Leptobrachium_boringii,1
Megophrys_nasuta,1
Anodonthyla_montana,1
Anodonthyla_rouxae,1
Calluella_guttulata,1
Chaperina_fusca,1
Choerophryne_rostellifer,1
Cophixalus_sphagnicola,1
Cophyla_phyllodactyla,1
Ctenophryne_geayi,1
Dermatonotus_muelleri,1
Dyscophus_guineti,1
Elachistocleis_ovalis,1
Gastrophryne_carolinensis,1
Gastrophryne_olivacea,1
Genyophryne_thomsoni,1
Hamptophryne_boliviana,1
Hypopachus_variolosus,1
Kalophrynus_pleurostigma,1
Kaloula_pulchra,1
Kaloula_taprobanica,1
Microhyla_heymonsi,1
Microhyla_okinavensis,1
Microhyla_ornata,1
Micryletta_inornata,1
Oreophryne_clamata,1
Otophryne_pyburni,0
Paradoxophyla_palmata,1
Phrynomantis_bifasciatus,1
Phrynomantis_microps,1
Platypelis_grandis,1
Plethodontohyla_mihanika,1
Plethodontohyla_notosticta,1
Plethodontohyla_tuberata,1
Scaphiophryne_calcarata,1
Stumpffia_grandis,1
Stumpffia_psologlossa,1
Adelotus_brevis,1
Assa_darlingtoni,0
Crinia_signifera,1
Limnodynastes_peronii,1
Limnodynastes_salmini,1
Limnodynastes_tasmaniensis,1
Myobatrachus_gouldii,1
Notaden_melanoscaphus,1
Paracrinia_haswelli,1
Platyplectrum_spenceri,1
Pseudophryne_coriacea,1
Rheobatrachus_silus,1
Taudactylus_acutirostris,0
Odontophrynus_americanus,1
Proceratophrys_boiei,1
Pelobates_cultripes,1
Pelodytes_punctatus,1
Phrynobatrachus_acridoides,0
Phrynobatrachus_dendrobates,0
Phrynobatrachus_mababiensis,1
Phrynobatrachus_natalensis,0
Hymenochirus_boettgeri,1
Pipa_pipa,1
Xenopus_laevis,1
Xenopus_muelleri,1
Hildebrandtia_ornata,1
Ptychadena_anchietae,1
Ptychadena_porosissima,1
Amietia_angolensis,1
Anhydrophryne_rattrayi,1
Cacosternum_boettgeri,1
Pyxicephalus_adspersus,0
Pyxicephalus_edulis,1
Tomopterna_cryptotis,1
Amnirana_albolabris,1
Amolops_marmoratus,1
Huia_cavitympanum,1
Odorrana_junlianensis,1
Odorrana_schmackeri,1
Odorrana_tormota,1
Rana_adenopleura,1
Rana_aurora,1
Rana_berlandieri,1
Rana_boylii,0
Rana_capito,1
Rana_cascadae,0
Rana_catesbeiana,1
Rana_chalconota,1
Rana_chiricahuensis,1
Rana_clamitans,1
Rana_curtipes,1
Rana_dalmatina,1
Rana_erythraea,1
Rana_grylio,1
Rana_guentheri,1
Rana_heckscheri,1
Rana_hosii,1
Rana_iberica,1
Rana_japonica,0
Rana_latouchii,1
Rana_lessonae,1
Rana_longicrus,1
Rana_luteiventris,1
Rana_macrocnemis,1
Rana_muscosa,0
Rana_narina,1
Rana_nigromaculata,1
Rana_palmipes,1
Rana_palustris,1
Rana_pipiens,1
Rana_pretiosa,0
Rana_ridibunda,1
Rana_rugosa,1
Rana_signata,1
Rana_swinhoana,1
Rana_sylvatica,0
Rana_tarahumarae,1
Rana_temporaria,1
Rana_vaillanti,1
Rana_warszewitschii,0
Staurois_latopalmatus,1
Staurois_natator,1
Buergeria_buergeri,1
Buergeria_japonica,1
Chiromantis_rufescens,1
Chiromantis_xerampelina,1
Kurixalus_eiffingeri,1
Nyctixalus_pictus,1
Polypedates_cruciger,1
Polypedates_leucomystax,1
Polypedates_maculatus,1
Polypedates_megacephalus,1
Rhacophorus_arboreus,1
Rhacophorus_bipunctatus,1
Rhacophorus_lateralis,1
Rhacophorus_reinwardtii,1
Rhacophorus_schlegelii,1
Rhinophrynus_dorsalis,1
Scaphiopus_couchii,1
Scaphiopus_holbrookii,1
Spea_bombifrons,1
Spea_hammondii,1
Spea_intermontana,1
Spea_multiplicata,1
Ambystoma_gracile,1
Ambystoma_mexicanum,1
