"","X","Species_name","Alt_name.notes","Genome","Assembly","Diel_Pattern_1","Diel_Pattern_2","Diel_Pattern_3","Diel_Pattern_4","AltDiel.Pattern","Confidence","Parvorder","tips"
"1","Balaena_mysticetus","Balaena mysticetus","","Yes",NA,NA,"cathemeral","crepuscular","cathemeral","","3,3,4","Mysticeti","Balaena_mysticetus"
"2","Balaenoptera_acutorostrata","Balaenoptera acutorostrata","","Yes",NA,"nocturnal","nocturnal","nocturnal","nocturnal","","3, 3","Mysticeti","Balaenoptera_acutorostrata"
"3","Balaenoptera_bonaerensis","Balaenoptera bonaerensis","","Yes",NA,NA,"cathemeral","crepuscular","cathemeral","","3,3,3,3,3","Mysticeti","Balaenoptera_bonaerensis"
"4","Balaenoptera_borealis","Balaenoptera borealis","","Yes",NA,NA,"cathemeral","crepuscular","cathemeral","","4,3,3,2","Mysticeti","Balaenoptera_borealis"
"6","Balaenoptera_edeni","Balaenoptera edeni","","Yes",NA,"diurnal","diurnal","diurnal","diurnal","","4,3,2","Mysticeti","Balaenoptera_edeni"
"7","Balaenoptera_musculus","Balaenoptera musculus","","Yes",NA,NA,"cathemeral","crepuscular","cathemeral","","3,4,4,3,3,4,3,3","Mysticeti","Balaenoptera_musculus"
"8","Balaenoptera_omurai","Balaenoptera omurai","Limited data, recently decribed as own sps",NA,NA,NA,"cathemeral","crepuscular","cathemeral","","3,3","Mysticeti","Balaenoptera_omurai"
"9","Balaenoptera_physalus","Balaenoptera physalus","","Yes",NA,NA,"cathemeral","crepuscular","cathemeral","","3,4,3,3,3,2,3,3","Mysticeti","Balaenoptera_physalus"
"11","Berardius_arnuxii","Berardius arnuxii","Limited data",NA,NA,NA,"cathemeral","crepuscular","cathemeral","","0.5, 2, 1.5, 1.5, 2","Odontoceti","Berardius_arnuxii"
"12","Berardius_bairdii","Berardius bairdii","",NA,NA,NA,"cathemeral","crepuscular","cathemeral","","3,4,4,3","Odontoceti","Berardius_bairdii"
"13","Caperea_marginata","Caperea marginata","Limited data",NA,NA,"nocturnal","nocturnal","nocturnal","nocturnal","","1,0,1","Mysticeti","Caperea_marginata"
"14","Cephalorhynchus_commersonii","Cephalorhynchus commersonii","","Yes",NA,"diurnal","diurnal","diurnal","diurnal","","5,2, 2, 3, 2, 2","Odontoceti","Cephalorhynchus_commersonii"
"15","Cephalorhynchus_eutropia","Cephalorhynchus eutropia","Limited data",NA,NA,NA,"cathemeral","crepuscular","cathemeral","","2,2,2","Odontoceti","Cephalorhynchus_eutropia"
"16","Cephalorhynchus_heavisidii","Cephalorhynchus heavisidii","",NA,NA,"nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","","2,4,3,4,2,2","Odontoceti","Cephalorhynchus_heavisidii"
"17","Cephalorhynchus_hectori","Cephalorhynchus hectori","",NA,NA,"diurnal","diurnal","diurnal","diurnal","","4,2,3,2,3,3","Odontoceti","Cephalorhynchus_hectori"
"18","Delphinapterus_leucas","Delphinapterus leucas","","Yes",NA,"diurnal","diurnal","diurnal","diurnal","Cathemeral during the midnight sun (period in the arctic circle when the sun doesn't set) and polar night (sun doesn't rise)","3,5,3,4,4,4","Odontoceti","Delphinapterus_leucas"
"19","Delphinus_delphis","Delphinus delphis","","Yes",NA,"nocturnal","nocturnal","nocturnal","nocturnal","","3, 2, 3, 2, 3","Odontoceti","Delphinus_delphis"
"20","Eschrichtius_robustus","Eschrichtius robustus","","Yes",NA,"nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","","3,3,2,3,5","Mysticeti","Eschrichtius_robustus"
"21","Eubalaena_australis","Eubalaena australis","","Yes",NA,"nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","","4,3,2","Mysticeti","Eubalaena_australis"
"22","Eubalaena_glacialis","Eubalaena glacialis","","Yes",NA,"nocturnal","nocturnal","nocturnal","nocturnal","","4,3, 3, 1, 4, 3, 3, 3, 3, 3","Mysticeti","Eubalaena_glacialis"
"23","Eubalaena_japonica","Eubalaena japonica","Limited data","Yes",NA,"nocturnal","nocturnal","nocturnal","nocturnal","","3,2, 2","Mysticeti","Eubalaena_japonica"
"24","Feresa_attenuata","Feresa attenuata","",NA,NA,"nocturnal","nocturnal","nocturnal","nocturnal","","4, 1, 2","Odontoceti","Feresa_attenuata"
"25","Globicephala_macrorhynchus","Globicephala macrorhynchus","",NA,NA,"nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","","4,3","Odontoceti","Globicephala_macrorhynchus"
"26","Globicephala_melas","Globicephala melas","","Yes",NA,"nocturnal","nocturnal","nocturnal","nocturnal","","4,4,3,2","Odontoceti","Globicephala_melas"
"27","Grampus_griseus","Grampus griseus","","Yes",NA,"nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","","4,3","Odontoceti","Grampus_griseus"
"28","Hyperoodon_ampullatus","Hyperoodon ampullatus","","Yes",NA,NA,"cathemeral","crepuscular","cathemeral","","3,3,4","Odontoceti","Hyperoodon_ampullatus"
"29","Hyperoodon_planifrons","Hyperoodon planifrons","Limited data",NA,NA,"nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","","3","Odontoceti","Hyperoodon_planifrons"
"30","Indopacetus_pacificus","Indopacetus pacificus","",NA,NA,"nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","","3","Odontoceti","Indopacetus_pacificus"
"32","Inia_geoffrensis","Inia geoffrensis","","Yes",NA,NA,"cathemeral","crepuscular","cathemeral","","3,3,3,5,2","Odontoceti","Inia_geoffrensis"
"34","Kogia_breviceps","Kogia breviceps","Limited data","Yes",NA,"nocturnal","nocturnal","nocturnal","nocturnal","","3, 0, 0 ,4","Odontoceti","Kogia_breviceps"
"35","Kogia_sima","Kogia sima","Limited data","Yes",NA,"nocturnal","nocturnal","nocturnal","nocturnal","","3, 2, 0","Odontoceti","Kogia_sima"
"36","Lagenodelphis_hosei","Lagenodelphis hosei","Limited data",NA,NA,"nocturnal","nocturnal","nocturnal","nocturnal","","0,3","Odontoceti","Lagenodelphis_hosei"
"37","Lagenorhynchus_acutus","Lagenorhynchus acutus","Leucopleurus acutus","Yes",NA,"nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","","5,3","Odontoceti","Lagenorhynchus_acutus"
"38","Lagenorhynchus_albirostris","Lagenorhynchus albirostris","","Yes",NA,"nocturnal","nocturnal/crepuscular","crepuscular","nocturnal","","4,2","Odontoceti","Lagenorhynchus_albirostris"
"39","Lagenorhynchus_australis","Lagenorhynchus australis","Sagmatias australis",NA,NA,"nocturnal","nocturnal","nocturnal","nocturnal","","2, 2, 2, 0, 2","Odontoceti","Lagenorhynchus_australis"
"40","Lagenorhynchus_obliquidens","Lagenorhynchus obliquidens","Sagmatias obliquidens","Yes",NA,NA,"cathemeral","crepuscular","cathemeral","Nocturnal/crepuscular in summer. diurnal in captivity ","5,4,3,2","Odontoceti","Lagenorhynchus_obliquidens"
"41","Lagenorhynchus_obscurus","Lagenorhynchus obscurus","Sagmatias obscurus",NA,NA,"diurnal","diurnal","diurnal","diurnal","Nocturnal (subpopulation in New zealand)","4,2,4,2,4,2,2","Odontoceti","Lagenorhynchus_obscurus"
"42","Lipotes_vexillifer","Lipotes vexillifer","Possibly extinct","Yes",NA,"diurnal","diurnal","diurnal","diurnal","","3,5,5","Odontoceti","Lipotes_vexillifer"
"43","Lissodelphis_borealis","Lissodelphis borealis","Limited data",NA,NA,"nocturnal","nocturnal","nocturnal","nocturnal","","0","Odontoceti","Lissodelphis_borealis"
"44","Lissodelphis_peronii","Lissodelphis peronii","Limited data",NA,NA,"nocturnal","nocturnal","nocturnal","nocturnal","","0","Odontoceti","Lissodelphis_peronii"
